"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kyrie Irving","BKN",28,1,1,0,29.6,29,12,19,63.2,5,7,71.4,0,0,0,0,6,6,5,2,3,0,3,50.7,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,33,"2021-01-05"
"Kyle Kuzma","LAL",25,1,1,0,30.3,5,2,5,40,0,2,0,1,2,50,1,5,6,0,1,0,0,2,11.2,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,6,"2021-01-05"
"Bruce Brown","BKN",24,1,1,0,23.1,6,3,5,60,0,1,0,0,0,0,0,6,6,5,1,0,0,1,19.7,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,15,"2021-01-05"
"Jarrett Allen","BKN",22,1,1,0,32,19,8,9,88.9,0,0,0,3,7,42.9,5,13,18,1,0,3,2,1,57.1,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,39,"2021-01-05"
"LeBron James","LAL",36,1,1,0,34.1,26,11,20,55,1,4,25,3,3,100,2,10,12,7,6,1,1,0,50.9,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,34,"2021-01-05"
"Devin Vassell","SAS",20,1,1,0,16.5,12,4,5,80,3,4,75,1,1,100,0,2,2,0,0,1,0,2,17.4,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,14,"2021-01-05"
"Joe Harris","BKN",29,1,1,0,23.1,10,4,7,57.1,2,4,50,0,0,0,0,0,0,1,2,1,0,0,12.5,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,9,"2021-01-05"
"Nicolas Batum","LAC",32,1,0,1,35.8,21,8,12,66.7,2,5,40,3,3,100,1,8,9,3,2,1,1,2,40.3,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,27,"2021-01-05"
"Caris LeVert","BKN",26,1,1,0,21.5,24,9,18,50,2,5,40,4,4,100,0,1,1,5,2,2,0,1,36.7,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,22,"2021-01-05"
"Grayson Allen","MEM",25,1,0,1,15.7,3,1,2,50,1,2,50,0,0,0,0,3,3,2,0,0,0,1,9.6,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,6,"2021-01-05"
