"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kyle Kuzma","LAL",25,1,1,0,29.2,20,8,12,66.7,4,6,66.7,0,0,0,1,2,3,3,1,0,3,1,36.1,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,25,"2020-12-27"
"Dennis Schroder","LAL",27,1,1,0,25.2,11,5,10,50,0,3,0,1,1,100,0,4,4,4,3,1,0,3,21.8,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,11,"2020-12-27"
"Willie Cauley-Stein","DAL",27,1,1,0,18,9,3,5,60,0,1,0,3,3,100,4,2,6,2,0,0,1,0,22.2,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,18,"2020-12-27"
"Dante Exum","CLE",25,1,1,0,23.1,6,3,5,60,0,1,0,0,0,0,1,3,4,6,1,2,0,5,24.8,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,12,"2020-12-27"
"Kentavious Caldwell-Pope","LAL",27,1,1,0,23.2,8,3,3,100,0,0,0,2,3,66.7,0,2,2,2,0,1,0,1,16.4,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,13,"2020-12-27"
"Luka Doncic","DAL",21,1,1,0,25.9,24,8,18,44.4,0,5,0,8,9,88.9,0,9,9,8,2,1,0,0,47.8,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,1,31,"2020-12-27"
"Michael Carter-Williams","ORL",29,1,1,0,23.1,6,3,3,100,0,0,0,0,0,0,1,5,6,3,2,2,1,1,24.7,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17,"2020-12-27"
"Trey Burke","DAL",28,1,1,0,17.5,5,2,3,66.7,1,2,50,0,0,0,0,2,2,1,1,1,0,0,10.9,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,9,"2020-12-27"
"Andre Drummond","CLE",27,1,1,0,25.7,24,11,18,61.1,0,0,0,2,4,50,6,8,14,3,1,3,2,1,59.3,1,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2,37,"2020-12-27"
"Tim Hardaway Jr.","DAL",28,1,1,0,23,18,7,14,50,4,8,50,0,0,0,0,5,5,2,0,2,0,2,33,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,20,"2020-12-27"
"Cameron Payne","PHX",26,1,1,0,19.6,7,2,5,40,1,2,50,2,2,100,0,5,5,6,0,2,0,6,28,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,13,"2020-12-27"
"Maxi Kleber","DAL",28,1,1,0,17.1,5,1,2,50,1,2,50,2,2,100,0,5,5,1,0,0,1,2,15.5,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,11,"2020-12-27"
"Cameron Johnson","PHX",24,1,1,0,21.1,21,7,9,77.8,3,4,75,4,4,100,0,1,1,1,0,1,0,1,26.7,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,23,"2020-12-27"
"Dorian Finney-Smith","DAL",27,1,1,0,18,8,2,4,50,2,4,50,2,2,100,0,1,1,1,0,0,0,1,10.7,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,9,"2020-12-27"
"James Johnson","DAL",33,1,1,0,20.4,5,1,6,16.7,1,3,33.3,2,2,100,2,6,8,3,0,2,0,2,25.1,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,13,"2020-12-27"
"Marc Gasol","LAL",35,1,1,0,20.7,12,4,4,100,3,3,100,1,1,100,2,5,7,8,3,0,4,2,41.4,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28,"2020-12-27"
"Josh Richardson","DAL",27,1,1,0,26.7,21,8,13,61.5,4,8,50,1,1,100,2,1,3,2,0,1,0,3,30.6,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,21,"2020-12-27"
"Terrence Ross","ORL",29,1,1,0,30.7,26,7,15,46.7,4,7,57.1,8,8,100,1,0,1,0,2,1,0,4,28.2,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,16,"2020-12-27"
"Alec Burks","NYK",29,1,1,0,20.5,18,5,7,71.4,4,5,80,4,5,80,0,2,2,5,1,0,0,3,26.9,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,20,"2020-12-27"
"Darius Garland","CLE",20,1,1,0,28.9,14,7,15,46.7,0,3,0,0,0,0,0,0,0,7,2,2,0,2,28.5,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,13,"2020-12-27"
"Larry Nance Jr.","CLE",28,1,1,0,35.4,13,5,6,83.3,3,4,75,0,0,0,1,3,4,5,4,2,0,3,27.3,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,18,"2020-12-27"
"RJ Barrett","NYK",20,1,1,0,38.3,17,7,17,41.2,0,4,0,3,4,75,2,6,8,4,2,1,0,4,33.6,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,1,15,"2020-12-27"
"Cedi Osman","CLE",25,1,1,0,21.8,14,5,8,62.5,2,4,50,2,2,100,0,2,2,2,1,1,1,4,24.4,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,14,"2020-12-27"
"Isaac Bonga","WAS",21,1,0,1,18.1,6,2,2,100,2,2,100,0,0,0,1,6,7,1,0,0,1,2,18.9,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,13,"2020-12-27"
"Jalen Brunson","DAL",24,1,1,0,13.3,11,4,6,66.7,1,3,33.3,2,2,100,0,2,2,3,0,0,0,0,17.9,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,16,"2020-12-27"
"Cole Anthony","ORL",20,1,1,0,19,12,3,9,33.3,0,2,0,6,6,100,4,3,7,3,0,0,0,1,24.9,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,17,"2020-12-27"
"Gary Clark","ORL",26,1,1,0,9.1,0,0,2,0,0,2,0,0,0,0,1,2,3,1,1,0,0,1,4.1,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,"2020-12-27"
"Khem Birch","ORL",28,1,1,0,19.9,6,1,6,16.7,0,0,0,4,4,100,2,5,7,2,0,0,1,1,20.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,12,"2020-12-27"
"Steven Adams","NOP",27,1,1,0,30.9,8,4,7,57.1,0,0,0,0,2,0,3,6,9,3,0,0,1,1,26.3,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,17,"2020-12-27"
"Frank Kaminsky","PHX",27,1,1,0,18.7,11,5,10,50,1,2,50,0,0,0,1,1,2,2,1,0,1,1,18.4,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,11,"2020-12-27"
"Kevin Knox II","NYK",21,1,1,0,26.3,7,3,8,37.5,1,4,25,0,0,0,0,4,4,2,1,1,1,1,19.8,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,10,"2020-12-27"
"Mikal Bridges","PHX",24,1,1,0,36.3,22,9,15,60,4,8,50,0,0,0,1,6,7,1,0,0,1,3,34.9,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,24,"2020-12-27"
"Devin Booker","PHX",24,1,1,0,35.3,20,8,19,42.1,1,6,16.7,3,4,75,1,4,5,5,4,2,1,1,38.5,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,1,18,"2020-12-27"
"LeBron James","LAL",36,1,1,0,26.2,18,6,13,46.2,1,5,20,5,7,71.4,0,9,9,5,4,1,0,1,35.3,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2,21,"2020-12-27"
"Mitchell Robinson","NYK",22,1,1,0,34.7,9,4,6,66.7,0,0,0,1,1,100,0,6,6,1,1,2,1,2,25.7,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,16,"2020-12-27"
"Wesley Matthews","LAL",34,1,1,0,17.9,4,2,4,50,0,2,0,0,1,0,0,1,1,2,1,0,1,1,10.2,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,5,"2020-12-27"
"Brandon Ingram","NOP",23,1,1,0,35.3,28,9,23,39.1,2,5,40,8,10,80,2,9,11,6,3,0,1,1,50.2,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,2,28,"2020-12-27"
"Elfrid Payton","NYK",26,1,1,0,29.3,27,12,16,75,3,3,100,0,2,0,1,2,3,7,3,1,0,2,41.1,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,29,"2020-12-27"
"Jakob Poeltl","SAS",25,1,0,1,23.3,8,4,6,66.7,0,0,0,0,0,0,0,8,8,0,1,0,2,3,22.6,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,12,"2020-12-27"
"Aaron Holiday","IND",24,1,1,0,21.9,6,3,5,60,0,2,0,0,0,0,1,1,2,1,0,3,1,3,21.9,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,10,"2020-12-27"
"Devonte' Graham","CHA",25,1,1,0,35.5,13,5,15,33.3,3,9,33.3,0,0,0,0,8,8,3,0,2,0,3,33.1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,0,15,"2020-12-27"
"Deni Avdija","WAS",20,1,0,1,36.2,9,4,11,36.4,1,5,20,0,0,0,2,7,9,3,1,2,0,1,29.3,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,14,"2020-12-27"
"Lauri Markkanen","CHI",23,1,0,1,29.3,23,7,13,53.8,4,7,57.1,5,7,71.4,0,7,7,1,2,1,1,1,36.9,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,22,"2020-12-27"
"Dwight Powell","DAL",29,1,1,0,17.9,4,1,1,100,0,0,0,2,2,100,1,3,4,0,1,1,0,2,10.8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,"2020-12-27"
"Julius Randle","NYK",26,1,1,0,37.1,29,8,17,47.1,3,5,60,10,11,90.9,3,11,14,7,2,0,1,4,57.3,1,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,37,"2020-12-27"
