"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kevin Durant","BKN",32,1,1,0,33.4,29,9,16,56.3,3,4,75,8,9,88.9,0,4,4,3,2,2,0,3,42.3,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,27,"2020-12-25"
"Kyrie Irving","BKN",28,1,1,0,33.4,37,13,21,61.9,7,10,70,4,4,100,1,5,6,8,1,1,0,4,58.2,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,41,"2020-12-25"
"Pat Connaughton","MIL",27,1,1,0,18.9,2,1,3,33.3,0,1,0,0,0,0,0,7,7,2,0,0,0,0,13.4,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,11,"2020-12-25"
"Giannis Antetokounmpo","MIL",26,1,1,0,26.7,15,4,14,28.6,0,3,0,7,15,46.7,4,9,13,4,2,0,0,2,34.6,1,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,8,12,"2020-12-25"
"Avery Bradley","MIA",30,1,1,0,28.5,12,4,7,57.1,2,5,40,2,3,66.7,0,2,2,4,2,2,0,2,24.4,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,14,"2020-12-25"
"Joe Harris","BKN",29,1,1,0,26.2,9,3,6,50,2,4,50,1,2,50,0,1,1,0,0,0,0,4,10.2,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,"2020-12-25"
"Jrue Holiday","MIL",30,1,1,0,25.4,12,6,8,75,0,1,0,0,0,0,1,3,4,6,3,0,1,1,25.8,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,19,"2020-12-25"
"Goran Dragic","MIA",34,1,1,0,27.1,18,6,11,54.5,0,4,0,6,7,85.7,0,2,2,9,3,4,0,1,42.9,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,25,"2020-12-25"
"Khris Middleton","MIL",29,1,1,0,25.8,31,10,15,66.7,6,8,75,5,5,100,0,4,4,5,2,2,0,2,47.3,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,35,"2020-12-25"
"Bobby Portis","MIL",25,1,1,0,25.9,10,5,9,55.6,0,3,0,0,0,0,1,11,12,2,1,1,1,1,32.4,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,22,"2020-12-25"
"Jarrett Allen","BKN",22,1,1,0,21.4,9,2,3,66.7,0,0,0,5,6,83.3,5,6,11,1,1,0,4,1,34.7,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,23,"2020-12-25"
"Andre Iguodala","MIA",36,1,1,0,26.2,6,2,5,40,2,5,40,0,0,0,0,7,7,3,2,1,0,3,19.9,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,11,"2020-12-25"
"Anthony Davis","LAL",27,1,1,0,30.3,28,10,16,62.5,3,5,60,5,7,71.4,1,7,8,5,2,2,0,2,49.1,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,33,"2020-12-25"
"LeBron James","LAL",36,1,1,0,31.4,22,8,18,44.4,3,8,37.5,3,4,75,1,6,7,10,4,1,0,0,44.4,1,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,1,27,"2020-12-25"
"Spencer Dinwiddie","BKN",27,1,1,0,29.2,6,2,6,33.3,0,2,0,2,2,100,0,4,4,2,2,2,1,3,20.8,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,8,"2020-12-25"
"Montrezl Harrell","LAL",26,1,1,0,28.4,22,10,13,76.9,0,1,0,2,5,40,5,2,7,2,2,1,0,4,34.4,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,22,"2020-12-25"
"Brook Lopez","MIL",32,1,1,0,19.7,8,3,6,50,0,1,0,2,2,100,2,2,4,0,2,0,1,1,13.8,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,9,"2020-12-25"
"Kentavious Caldwell-Pope","LAL",27,1,1,0,24.2,8,3,7,42.9,2,6,33.3,0,0,0,0,0,0,2,0,1,2,4,20,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,7,"2020-12-25"
"Paul George","LAC",30,1,1,0,36.9,23,8,14,57.1,5,9,55.6,2,2,100,0,5,5,9,6,1,0,1,39.5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,27,"2020-12-25"
