"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Zach LaVine","CHI",25,1,0,1,42.5,35,11,19,57.9,8,14,57.1,5,9,55.6,1,6,7,6,6,1,0,3,49.4,0,0,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,4,28,"2021-01-15"
"Andre Drummond","CLE",27,1,1,0,39.6,33,10,18,55.6,0,1,0,13,19,68.4,7,16,23,3,2,2,2,5,75.1,1,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,44,"2021-01-15"
"Shai Gilgeous-Alexander","OKC",22,1,1,0,43.5,33,13,19,68.4,3,5,60,4,4,100,0,5,5,10,1,1,0,5,56,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,39,"2021-01-15"
"Giannis Antetokounmpo","MIL",26,1,1,0,30.2,31,14,21,66.7,2,5,40,1,10,10,3,6,9,1,5,0,1,4,41.3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,9,19,"2021-01-15"
"Julius Randle","NYK",26,1,0,1,38.1,28,11,20,55,2,4,50,4,5,80,1,5,6,6,1,0,0,3,43.2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,26,"2021-01-15"
"Luka Doncic","DAL",21,1,0,1,35.8,28,12,24,50,1,7,14.3,3,7,42.9,0,10,10,13,3,0,0,4,56.5,1,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,4,28,"2021-01-15"
"Kawhi Leonard","LAC",29,1,1,0,27.5,27,10,15,66.7,1,3,33.3,6,6,100,0,4,4,6,1,1,0,0,42.8,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,34,"2021-01-15"
"Donovan Mitchell","UTA",24,1,1,0,29.1,26,10,20,50,6,10,60,0,0,0,0,3,3,4,3,3,0,1,41.6,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,0,24,"2021-01-15"
"Paul George","LAC",30,1,1,0,29.6,26,8,14,57.1,4,8,50,6,6,100,1,3,4,2,2,0,0,3,31.8,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,23,"2021-01-15"
"Cedi Osman","CLE",25,1,1,0,39.6,25,10,20,50,5,9,55.6,0,1,0,1,2,3,5,3,2,0,3,39.1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,1,20,"2021-01-15"
