"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Damian Lillard","POR",30,1,1,0,29,39,13,21,61.9,7,12,58.3,6,7,85.7,0,7,7,7,1,3,0,0,65.9,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,1,48,"2021-01-07"
"Luka Doncic","DAL",21,1,1,0,43.3,38,13,22,59.1,2,7,28.6,10,15,66.7,0,9,9,13,8,4,1,0,75.3,1,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,5,45,"2021-01-07"
"Nikola Jokic","DEN",25,1,0,1,41.2,38,14,31,45.2,4,10,40,6,10,60,1,10,11,4,3,2,0,4,60.2,1,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,17,4,27,"2021-01-07"
"Joe Harris","BKN",29,1,1,0,30.2,28,11,19,57.9,6,9,66.7,0,2,0,2,4,6,4,1,1,0,2,43.2,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,2,28,"2021-01-07"
"LaMarcus Aldridge","SAS",35,1,1,0,31.3,28,11,18,61.1,3,7,42.9,3,3,100,0,5,5,3,1,0,0,1,37.5,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,29,"2021-01-07"
"LeBron James","LAL",36,1,0,1,34.9,27,8,15,53.3,4,7,57.1,7,11,63.6,0,6,6,12,4,0,0,3,48.2,1,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,27,"2021-01-07"
"Anthony Edwards","MIN",19,1,0,1,31.2,26,9,21,42.9,3,10,30,5,7,71.4,2,2,4,1,4,2,0,2,34.3,0,0,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,2,13,"2021-01-07"
"D'Angelo Russell","MIN",24,1,0,1,28.2,26,9,16,56.3,3,7,42.9,5,6,83.3,0,3,3,3,3,0,1,3,34.1,0,0,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,19,"2021-01-07"
"Shake Milton","PHI",24,1,0,1,36.3,24,8,13,61.5,1,4,25,7,7,100,0,1,1,7,3,0,0,0,32.7,0,0,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,24,"2021-01-07"
"Anthony Davis","LAL",27,1,0,1,34.3,23,11,17,64.7,1,3,33.3,0,2,0,2,8,10,3,1,1,3,2,50.5,1,0,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,29,"2021-01-07"
"Andre Drummond","CLE",27,1,1,0,37.4,22,9,20,45,0,0,0,4,6,66.7,3,12,15,3,6,2,0,2,44.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,2,23,"2021-01-07"
"Caris LeVert","BKN",26,1,1,0,32.3,22,9,25,36,0,5,0,4,10,40,0,7,7,10,1,2,0,0,50.4,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,6,20,"2021-01-07"
"Jamal Murray","DEN",23,1,0,1,46.3,21,8,19,42.1,3,9,33.3,2,2,100,1,3,4,9,3,1,0,3,39.3,0,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,0,18,"2021-01-07"
"CJ McCollum","POR",29,1,1,0,25.5,20,6,14,42.9,4,9,44.4,4,4,100,0,3,3,4,1,0,1,1,31.6,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,20,"2021-01-07"
"Joel Embiid","PHI",26,1,0,1,29.9,20,7,14,50,2,2,100,4,5,80,0,12,12,3,5,0,1,5,36.9,1,0,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,18,"2021-01-07"
"DeMar DeRozan","SAS",31,1,1,0,36.2,19,5,13,38.5,2,6,33.3,7,8,87.5,0,4,4,8,0,2,1,1,44.8,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,26,"2021-01-07"
"Dejounte Murray","SAS",24,1,1,0,31.6,18,7,14,50,2,4,50,2,2,100,0,8,8,2,0,0,0,3,30.6,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,20,"2021-01-07"
