"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Damian Lillard","POR",30,1,0,1,35.6,35,10,23,43.5,3,10,30,12,12,100,0,3,3,6,5,1,1,2,48.6,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,0,26,"2021-01-18"
"Giannis Antetokounmpo","MIL",26,1,0,1,39.8,34,13,26,50,2,6,33.3,6,8,75,1,11,12,7,1,2,0,1,63.9,1,0,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,2,38,"2021-01-18"
"James Harden","BKN",31,1,1,0,40.8,34,13,25,52,3,10,30,5,6,83.3,1,5,6,12,6,0,1,3,56.2,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,1,33,"2021-01-18"
"Zach LaVine","CHI",25,1,1,0,36.7,33,11,16,68.8,4,8,50,7,8,87.5,0,4,4,7,5,2,1,2,52.3,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,36,"2021-01-18"
"Victor Oladipo","HOU",28,1,0,1,32.1,32,13,23,56.5,4,9,44.4,2,4,50,0,5,5,9,7,2,0,3,50.5,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,2,26,"2021-01-18"
"D'Angelo Russell","MIN",24,1,0,1,32.1,31,11,22,50,6,13,46.2,3,5,60,1,2,3,7,3,4,1,0,57.1,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,2,30,"2021-01-18"
"Christian Wood","HOU",25,1,0,1,30.7,30,11,16,68.8,3,5,60,5,6,83.3,0,9,9,1,3,1,0,3,42.3,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,29,"2021-01-18"
"Kevin Durant","BKN",32,1,1,0,35.7,30,10,21,47.6,2,4,50,8,9,88.9,0,9,9,6,3,0,2,5,52.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,1,29,"2021-01-18"
"Bam Adebayo","MIA",23,1,1,0,35.5,28,9,15,60,0,1,0,10,11,90.9,2,9,11,5,7,2,1,5,50.7,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,30,"2021-01-18"
"Jerami Grant","DET",26,1,0,1,33.6,27,10,19,52.6,2,6,33.3,5,5,100,1,3,4,6,2,0,1,4,41.8,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,23,"2021-01-18"
"Stephen Curry","GSW",32,1,1,0,35.6,26,8,22,36.4,3,12,25,7,7,100,0,1,1,7,4,1,0,2,36.7,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,0,17,"2021-01-18"
"De'Andre Hunter","ATL",23,1,1,0,36.7,25,8,15,53.3,3,6,50,6,7,85.7,0,4,4,2,6,3,0,4,35.8,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,18,"2021-01-18"
"Dennis Schroder","LAL",27,1,0,1,33.1,25,8,15,53.3,1,5,20,8,9,88.9,1,4,5,3,3,2,0,3,38.5,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,21,"2021-01-18"
"Khris Middleton","MIL",29,1,0,1,36.2,25,10,20,50,0,5,0,5,6,83.3,2,2,4,4,2,4,0,4,45.8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,1,20,"2021-01-18"
"Nikola Vucevic","ORL",30,1,0,1,36.5,24,10,16,62.5,2,5,40,2,2,100,2,12,14,0,0,0,2,3,46.8,1,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,31,"2021-01-18"
"Wayne Ellington","DET",33,1,0,1,27.5,24,7,12,58.3,7,11,63.6,3,4,75,0,2,2,2,2,0,0,3,27.4,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,17,"2021-01-18"
"Clint Capela","ATL",26,1,1,0,39.4,23,10,16,62.5,0,0,0,3,3,100,4,11,15,2,4,2,3,1,55,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,36,"2021-01-18"
"Kelly Oubre Jr.","GSW",25,1,1,0,37.1,23,9,18,50,2,8,25,3,4,75,2,2,4,0,0,2,2,2,39.8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,1,21,"2021-01-18"
"Kristaps Porzingis","DAL",25,1,0,1,31.9,23,8,14,57.1,2,5,40,5,7,71.4,4,5,9,1,1,0,2,2,40.3,0,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,24,"2021-01-18"
"Kyle Lowry","TOR",34,1,1,0,35.1,23,9,12,75,3,5,60,2,2,100,1,8,9,7,4,0,1,2,43.3,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,33,"2021-01-18"
"Goran Dragic","MIA",34,1,1,0,33.1,22,9,15,60,1,5,20,3,4,75,0,3,3,3,3,0,1,3,30.1,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1,18,"2021-01-18"
"Jrue Holiday","MIL",30,1,0,1,37.3,22,8,16,50,2,4,50,4,4,100,2,2,4,6,0,0,0,2,35.8,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,0,22,"2021-01-18"
"LaMarcus Aldridge","SAS",35,1,1,0,24.3,22,10,17,58.8,0,1,0,2,2,100,0,2,2,1,1,1,1,0,30.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,21,"2021-01-18"
"RJ Barrett","NYK",20,1,1,0,38.3,22,9,19,47.4,0,3,0,4,4,100,2,8,10,4,3,0,1,2,40,1,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,0,24,"2021-01-18"
"Chris Boucher","TOR",28,1,1,0,27.7,21,8,12,66.7,2,5,40,3,3,100,4,6,10,2,1,1,3,4,47,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,30,"2021-01-18"
"Derrick Rose","DET",32,1,0,1,26.6,21,6,11,54.5,1,4,25,8,9,88.9,0,3,3,4,3,2,0,1,33.6,0,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,20,"2021-01-18"
"Eric Gordon","HOU",32,1,0,1,33.9,21,9,17,52.9,3,7,42.9,0,1,0,0,2,2,4,1,0,0,0,28.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,17,"2021-01-18"
"Julius Randle","NYK",26,1,1,0,39.4,21,5,19,26.3,2,6,33.3,9,13,69.2,3,14,17,1,0,0,0,4,42.9,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,4,19,"2021-01-18"
"Patty Mills","SAS",32,1,1,0,24,21,8,11,72.7,5,7,71.4,0,0,0,0,1,1,1,0,0,0,1,23.7,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,21,"2021-01-18"
"Rodney Hood","POR",28,1,0,1,25.4,21,9,14,64.3,2,6,33.3,1,1,100,0,2,2,2,3,1,0,0,26.4,0,0,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,18,"2021-01-18"
"Rudy Gay","SAS",34,1,1,0,23.5,21,8,17,47.1,5,8,62.5,0,0,0,3,4,7,1,0,1,0,1,33.9,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,22,"2021-01-18"
