"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Stephen Curry","GSW",32,1,0,1,37,35,14,23,60.9,5,11,45.5,2,2,100,0,11,11,4,7,2,0,2,53.2,1,0,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,0,34,"2021-01-14"
"Shake Milton","PHI",24,1,1,0,27.4,31,11,15,73.3,3,4,75,6,6,100,0,2,2,7,1,2,1,2,51.9,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,38,"2021-01-14"
"Keldon Johnson","SAS",21,1,0,1,31.2,29,12,16,75,2,3,66.7,3,5,60,3,3,6,2,1,1,1,5,44.2,0,0,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,27,"2021-01-14"
"Christian Wood","HOU",25,1,1,0,34.9,27,10,18,55.6,5,7,71.4,2,6,33.3,2,13,15,1,5,0,3,3,50.5,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,4,28,"2021-01-14"
"Chris Boucher","TOR",28,1,1,0,29.5,25,8,12,66.7,2,4,50,7,8,87.5,4,6,10,2,1,1,2,2,48,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,34,"2021-01-14"
"Malcolm Brogdon","IND",28,1,1,0,34.8,25,10,18,55.6,3,6,50,2,2,100,2,3,5,7,2,3,0,2,48.5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,30,"2021-01-14"
"Domantas Sabonis","IND",24,1,1,0,38.5,23,10,18,55.6,0,2,0,3,4,75,5,10,15,5,3,2,0,2,51.5,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,33,"2021-01-14"
"Nikola Jokic","DEN",25,1,1,0,35.9,23,8,16,50,0,4,0,7,7,100,1,13,14,10,3,3,0,4,60.8,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,37,"2021-01-14"
"Sterling Brown","HOU",25,1,1,0,36.6,23,9,17,52.9,3,7,42.9,2,2,100,2,5,7,3,1,2,0,1,40.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,27,"2021-01-14"
"CJ McCollum","POR",29,1,0,1,34.1,22,8,18,44.4,4,10,40,2,2,100,1,2,3,4,1,1,0,3,33.6,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,0,16,"2021-01-14"
"Damian Lillard","POR",30,1,0,1,35.8,22,7,16,43.8,2,5,40,6,6,100,2,4,6,4,5,1,0,2,33.2,0,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,17,"2021-01-14"
