"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Bryn Forbes","MIL",27,1,1,0,16.9,14,4,7,57.1,3,4,75,3,3,100,0,2,2,1,0,2,0,0,23.9,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,18,"2021-01-11"
"Clint Capela","ATL",26,1,1,0,26.4,12,4,12,33.3,0,0,0,4,6,66.7,3,8,11,1,3,1,1,1,29.7,1,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,2,14,"2021-01-11"
"Gordon Hayward","CHA",30,1,1,0,34.7,34,11,17,64.7,2,2,100,10,10,100,1,2,3,3,3,0,1,0,42.1,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,34,"2021-01-11"
"John Collins","ATL",23,1,1,0,24.2,12,4,7,57.1,4,7,57.1,0,0,0,1,6,7,1,1,0,0,0,20.9,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,18,"2021-01-11"
"Cam Reddish","ATL",21,1,1,0,23.9,10,3,8,37.5,1,4,25,3,3,100,1,4,5,0,0,1,0,0,19,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,13,"2021-01-11"
"Ish Smith","WAS",32,1,1,0,21.2,6,3,8,37.5,0,1,0,0,4,0,1,2,3,6,1,1,0,1,20.6,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,7,"2021-01-11"
"Robin Lopez","WAS",32,1,1,0,26,11,5,6,83.3,0,0,0,1,5,20,7,4,11,2,0,0,0,2,27.2,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,19,"2021-01-11"
"Davis Bertans","WAS",28,1,1,0,24.5,18,6,10,60,6,9,66.7,0,0,0,0,2,2,2,1,0,0,1,22.4,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,18,"2021-01-11"
"Donte DiVincenzo","MIL",23,1,1,0,26,9,4,7,57.1,1,3,33.3,0,0,0,0,4,4,3,1,2,0,1,23.3,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,15,"2021-01-11"
"Trae Young","ATL",22,1,1,0,25.5,26,9,19,47.4,3,7,42.9,5,6,83.3,0,3,3,8,0,1,0,1,44.6,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,1,28,"2021-01-11"
