"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Joel Embiid","PHI",26,1,1,0,39.3,45,16,23,69.6,0,3,0,13,13,100,2,14,16,4,4,5,1,2,84.2,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,60,"2021-01-12"
"Kevin Durant","BKN",32,1,1,0,35.9,34,12,18,66.7,4,7,57.1,6,7,85.7,0,9,9,13,7,0,0,4,57.3,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,40,"2021-01-12"
"Tyler Herro","MIA",20,1,0,1,39.3,34,12,26,46.2,3,9,33.3,7,8,87.5,0,7,7,4,6,0,1,0,45.4,0,0,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,1,25,"2021-01-12"
"Danny Green","PHI",33,1,1,0,49.8,29,10,25,40,9,21,42.9,0,0,0,6,4,10,6,6,2,2,0,56,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,0,30,"2021-01-12"
"Donovan Mitchell","UTA",24,1,1,0,30.1,27,9,15,60,5,7,71.4,4,4,100,2,1,3,4,1,0,0,2,35.6,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,27,"2021-01-12"
"Duncan Robinson","MIA",26,1,0,1,45.8,26,8,18,44.4,6,14,42.9,4,5,80,0,2,2,1,2,1,1,2,33.9,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,1,16,"2021-01-12"
"LeBron James","LAL",36,1,1,0,29.2,26,10,20,50,4,9,44.4,2,4,50,1,7,8,5,5,0,1,0,41.1,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,2,25,"2021-01-12"
"Gabe Vincent","MIA",24,1,0,1,36.4,24,9,20,45,4,12,33.3,2,3,66.7,0,2,2,3,2,2,0,3,34.9,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,1,14,"2021-01-12"
"Lonnie Walker IV","SAS",22,1,1,0,35.6,24,7,15,46.7,3,7,42.9,7,7,100,0,3,3,2,1,0,1,4,32.6,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,19,"2021-01-12"
"Nikola Jokic","DEN",25,1,0,1,34.3,23,8,17,47.1,1,4,25,6,6,100,1,7,8,11,1,7,1,2,72.1,1,0,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,38,"2021-01-12"
"Andrew Wiggins","GSW",25,1,0,1,35,22,7,17,41.2,4,9,44.4,4,7,57.1,2,5,7,3,2,0,5,2,47.9,0,0,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,3,20,"2021-01-12"
"Myles Turner","IND",24,1,1,0,41.6,22,7,11,63.6,3,5,60,5,8,62.5,2,10,12,0,1,2,5,3,56.4,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,32,"2021-01-12"
"Will Barton","DEN",30,1,0,1,37.7,22,8,14,57.1,6,8,75,0,0,0,0,2,2,1,1,3,1,2,36.9,0,0,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,20,"2021-01-12"
"Jordan Clarkson","UTA",28,1,1,0,28.1,21,8,14,57.1,5,9,55.6,0,0,0,1,7,8,4,4,2,0,1,38.6,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,26,"2021-01-12"
