"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Zion Williamson","NOP",20,1,0,1,35.4,32,14,19,73.7,0,1,0,4,6,66.7,1,4,5,3,2,1,0,4,43.5,0,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,28,"2021-01-19"
"Donovan Mitchell","UTA",24,1,1,0,33.4,28,9,15,60,4,7,57.1,6,6,100,0,7,7,4,5,0,0,4,37.4,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,26,"2021-01-19"
"Nikola Jokic","DEN",25,1,1,0,28.4,27,12,21,57.1,0,4,0,3,3,100,5,7,12,6,1,1,1,2,55.4,1,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,37,"2021-01-19"
"Luguentz Dort","OKC",21,1,0,1,24.6,20,8,11,72.7,3,6,50,1,2,50,0,5,5,3,0,1,0,1,33.5,0,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,24,"2021-01-19"
"Jordan Clarkson","UTA",28,1,1,0,29.4,18,6,15,40,4,9,44.4,2,2,100,0,6,6,6,1,0,0,2,33.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,20,"2021-01-19"
"Brandon Ingram","NOP",23,1,0,1,35.3,17,8,18,44.4,0,1,0,1,2,50,0,3,3,4,1,0,2,2,31.6,0,0,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,12,"2021-01-19"
"Joe Ingles","UTA",33,1,1,0,18.6,15,5,6,83.3,5,6,83.3,0,0,0,1,2,3,2,0,0,1,1,24.6,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,21,"2021-01-19"
"Monte Morris","DEN",25,1,1,0,21.5,15,7,11,63.6,1,4,25,0,0,0,1,3,4,5,1,0,0,0,26.3,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,21,"2021-01-19"
"Shai Gilgeous-Alexander","OKC",22,1,0,1,27.2,14,5,11,45.5,1,4,25,3,6,50,0,5,5,7,4,0,1,0,29.5,0,0,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,14,"2021-01-19"
"Paul Millsap","DEN",35,1,1,0,26.4,13,5,10,50,2,5,40,1,2,50,4,8,12,3,1,2,1,3,39.9,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,23,"2021-01-19"
"Rudy Gobert","UTA",28,1,1,0,29.8,13,6,8,75,0,0,0,1,6,16.7,6,12,18,1,0,1,3,1,48.1,1,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,5,30,"2021-01-19"
"Will Barton","DEN",30,1,1,0,24.6,13,5,7,71.4,3,4,75,0,0,0,0,3,3,6,4,1,0,2,24.6,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,17,"2021-01-19"
"Darius Bazley","OKC",20,1,0,1,23.7,12,5,11,45.5,2,7,28.6,0,0,0,1,1,2,0,1,0,2,0,19.4,0,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,9,"2021-01-19"
"Bojan Bogdanovic","UTA",31,1,1,0,28.7,11,4,11,36.4,3,8,37.5,0,0,0,0,7,7,3,3,1,0,2,23.9,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,12,"2021-01-19"
"Gary Harris","DEN",26,1,1,0,25.6,11,4,9,44.4,3,6,50,0,0,0,2,1,3,3,1,1,0,2,21.1,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,12,"2021-01-19"
"PJ Dozier","DEN",24,1,1,0,19,11,3,7,42.9,2,5,40,3,3,100,1,1,2,0,1,1,0,0,15.4,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,11,"2021-01-19"
"Georges Niang","UTA",27,1,1,0,12.7,10,4,8,50,2,5,40,0,0,0,0,1,1,1,2,0,0,0,10.7,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,8,"2021-01-19"
"Isaiah Roby","OKC",22,1,0,1,26.2,10,3,9,33.3,1,3,33.3,3,3,100,6,3,9,3,3,4,0,3,34.3,0,0,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,14,"2021-01-19"
"JaMychal Green","DEN",30,1,1,0,16.6,10,4,12,33.3,2,5,40,0,0,0,4,4,8,1,2,0,1,3,22.1,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,9,"2021-01-19"
"Derrick Favors","UTA",29,1,1,0,16.4,9,4,6,66.7,0,0,0,1,2,50,3,4,7,0,0,0,0,3,17.4,0,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,12,"2021-01-19"
"Eric Bledsoe","NOP",31,1,0,1,24.1,9,3,9,33.3,2,4,50,1,2,50,1,3,4,2,1,0,0,1,15.8,0,0,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1,6,"2021-01-19"
"Justin Jackson","OKC",25,1,0,1,7.3,9,3,3,100,2,2,100,1,2,50,0,2,2,0,0,1,0,1,14.4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,10,"2021-01-19"
"Nickeil Alexander-Walker","NOP",22,1,0,1,30.7,9,4,13,30.8,1,6,16.7,0,0,0,0,5,5,2,2,2,1,1,25,0,0,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,7,"2021-01-19"
"Hamidou Diallo","OKC",22,1,0,1,18.7,8,2,8,25,1,2,50,3,5,60,2,4,6,0,1,0,0,2,14.2,0,0,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,3,"2021-01-19"
"Josh Hart","NOP",25,1,0,1,25.1,8,3,5,60,2,3,66.7,0,0,0,0,5,5,1,0,1,0,2,18.5,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,11,"2021-01-19"
"Lonzo Ball","NOP",23,1,0,1,23,7,3,10,30,0,6,0,1,2,50,1,0,1,4,0,3,0,2,23.2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,5,"2021-01-19"
"Theo Maledon","OKC",19,1,0,1,20.5,7,3,7,42.9,1,4,25,0,0,0,0,3,3,3,2,1,0,1,16.1,0,0,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,7,"2021-01-19"
"George Hill","OKC",34,1,0,1,22,6,2,5,40,2,3,66.7,0,0,0,0,0,0,2,1,0,0,0,8,0,0,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,4,"2021-01-19"
"JJ Redick","NOP",36,1,0,1,15.3,6,2,6,33.3,1,4,25,1,1,100,0,2,2,0,0,0,0,0,8.4,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,4,"2021-01-19"
"Josh Hall","OKC",20,1,0,1,13.1,6,2,5,40,0,2,0,2,3,66.7,0,2,2,1,2,0,0,1,7.9,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,"2021-01-19"
"Mike Conley","UTA",33,1,1,0,28.2,6,2,7,28.6,1,5,20,1,1,100,1,1,2,10,2,2,0,1,27.4,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,14,"2021-01-19"
"Moses Brown","OKC",21,1,0,1,5.7,6,2,2,100,0,0,0,2,2,100,0,2,2,0,0,0,0,1,8.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,"2021-01-19"
"Royce O'Neale","UTA",27,1,1,0,35.3,6,2,8,25,2,7,28.6,0,0,0,0,1,1,1,0,0,2,3,14.7,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,3,"2021-01-19"
"Steven Adams","NOP",27,1,0,1,23.7,6,3,6,50,0,0,0,0,0,0,5,4,9,1,1,1,0,0,20.3,0,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,13,"2021-01-19"
"Isaiah Hartenstein","DEN",22,1,1,0,12.9,5,1,2,50,0,0,0,3,3,100,1,6,7,0,0,1,0,3,16.4,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,11,"2021-01-19"
"Jamal Murray","DEN",23,1,1,0,20.6,5,2,10,20,0,3,0,1,1,100,0,2,2,4,1,2,0,2,18.4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,4,"2021-01-19"
"Kira Lewis Jr.","NOP",19,1,0,1,3.7,4,1,3,33.3,0,0,0,2,2,100,0,0,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,"2021-01-19"
"Facundo Campazzo","DEN",29,1,1,0,18,3,1,6,16.7,1,3,33.3,0,0,0,0,0,0,1,1,1,0,2,6.5,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,-1,"2021-01-19"
"Mike Muscala","OKC",29,1,0,1,14,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,2,0,0,3,1,0,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,-4,"2021-01-19"
"Bol Bol","DEN",21,1,1,0,6.6,2,1,3,33.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,3,"2021-01-19"
"Jaxson Hayes","NOP",20,1,0,1,15,2,1,2,50,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2.2,0,0,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,-2,"2021-01-19"
"Markus Howard","DEN",21,1,1,0,3.7,2,1,4,25,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,"2021-01-19"
"R.J. Hampton","DEN",19,1,1,0,6.7,2,0,2,0,0,0,0,2,2,100,0,2,2,0,1,0,0,0,3.4,0,0,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,3,"2021-01-19"
"Shaquille Harrison","UTA",27,1,1,0,1.8,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2021-01-19"
"Willy Hernangomez","NOP",26,1,0,1,3,2,1,2,50,0,0,0,0,0,0,2,1,3,0,0,0,0,0,5.6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,"2021-01-19"
"Aleksej Pokusevski","OKC",19,1,0,1,24.3,0,0,7,0,0,5,0,0,0,0,0,4,4,2,3,1,1,1,10.8,0,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,-3,"2021-01-19"
"Darius Miller","OKC",30,1,0,1,6.6,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,-1,"2021-01-19"
"Jarrell Brantley","UTA",24,1,1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2021-01-19"
"Kenrich Williams","OKC",26,1,0,1,6.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,-2,"2021-01-19"
"Miye Oni","UTA",23,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2021-01-19"
