"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Tyrese Maxey","PHI",20,1,0,1,43.8,39,18,33,54.5,3,8,37.5,0,0,0,1,6,7,6,2,2,0,3,60.4,0,0,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,0,34,"2021-01-09"
"DeMar DeRozan","SAS",31,1,1,0,43.8,38,13,23,56.5,0,2,0,12,13,92.3,1,4,5,5,1,0,0,1,50.5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,1,37,"2021-01-09"
"CJ McCollum","POR",29,1,1,0,29.3,37,13,22,59.1,6,11,54.5,5,5,100,0,3,3,3,1,2,0,3,50.1,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,34,"2021-01-09"
"Tim Hardaway Jr.","DAL",28,1,1,0,40.4,36,12,20,60,8,13,61.5,4,6,66.7,0,5,5,2,4,0,0,2,41,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2,29,"2021-01-09"
"Mikal Bridges","PHX",24,1,1,0,35.4,34,12,18,66.7,6,8,75,4,4,100,0,3,3,2,0,0,1,0,43.6,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,36,"2021-01-09"
"Tyler Herro","MIA",20,1,1,0,37.2,31,12,20,60,1,5,20,6,8,75,0,9,9,2,3,0,0,3,41.8,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2,28,"2021-01-09"
"Nikola Vucevic","ORL",30,1,0,1,33.5,30,14,24,58.3,2,7,28.6,0,0,0,3,12,15,2,0,2,0,3,57,1,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,36,"2021-01-09"
"Malik Beasley","MIN",24,1,0,1,40,29,11,20,55,7,11,63.6,0,0,0,0,4,4,2,2,0,0,2,34.8,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,22,"2021-01-09"
"Trey Burke","DAL",28,1,1,0,21,29,11,13,84.6,7,8,87.5,0,0,0,0,0,0,4,1,0,1,3,37,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,30,"2021-01-09"
"Domantas Sabonis","IND",24,1,0,1,41.5,28,12,24,50,0,4,0,4,8,50,7,15,22,4,3,0,0,5,57.4,1,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,4,30,"2021-01-09"
"Khris Middleton","MIL",29,1,1,0,35.5,27,10,16,62.5,3,6,50,4,4,100,1,4,5,6,4,1,0,3,41,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,28,"2021-01-09"
"Andre Drummond","CLE",27,1,0,1,41.3,26,11,23,47.8,0,1,0,4,5,80,5,19,24,3,6,1,1,4,59.3,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,1,32,"2021-01-09"
"Jimmy Butler","MIA",31,1,1,0,36,26,10,18,55.6,0,1,0,6,6,100,3,7,10,9,0,2,1,1,60.5,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,41,"2021-01-09"
"Devin Booker","PHX",24,1,1,0,36.1,25,9,19,47.4,1,5,20,6,6,100,0,3,3,7,0,2,0,3,45.1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,0,26,"2021-01-09"
"Karl-Anthony Towns","MIN",25,1,0,1,37,25,9,17,52.9,2,3,66.7,5,6,83.3,6,7,13,4,3,0,3,2,52.6,1,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,31,"2021-01-09"
"Terry Rozier","CHA",26,1,1,0,35.5,23,8,15,53.3,4,9,44.4,3,5,60,0,4,4,2,3,4,0,3,39.8,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,20,"2021-01-09"
"Dejounte Murray","SAS",24,1,1,0,40.9,22,7,18,38.9,3,6,50,5,6,83.3,2,12,14,4,2,1,1,2,48.8,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,1,28,"2021-01-09"
"Garrison Mathews","WAS",24,1,0,1,23.3,22,6,12,50,4,7,57.1,6,7,85.7,1,1,2,1,1,2,0,5,30.9,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,14,"2021-01-09"
"LaMelo Ball","CHA",19,1,1,0,31.2,22,9,13,69.2,3,5,60,1,2,50,3,9,12,11,1,1,0,4,54.9,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,38,"2021-01-09"
"Malcolm Brogdon","IND",28,1,0,1,39.2,22,7,20,35,3,6,50,5,5,100,2,4,6,9,2,0,0,1,40.7,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,0,21,"2021-01-09"
"P.J. Washington","CHA",22,1,1,0,36.5,22,7,11,63.6,2,4,50,6,6,100,0,7,7,1,1,0,6,4,48.9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,29,"2021-01-09"
"Cam Reddish","ATL",21,1,0,1,33.6,21,6,17,35.3,4,13,30.8,5,6,83.3,0,5,5,1,3,4,0,3,37.5,0,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,1,13,"2021-01-09"
"Damyean Dotson","CLE",26,1,0,1,41.1,21,8,17,47.1,2,7,28.6,3,3,100,0,2,2,8,0,1,1,1,41.4,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,23,"2021-01-09"
"Gary Harris","DEN",26,1,1,0,28.3,21,7,11,63.6,5,8,62.5,2,4,50,1,2,3,1,2,1,0,1,27.1,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,19,"2021-01-09"
"Goran Dragic","MIA",34,1,1,0,19.6,21,7,10,70,7,9,77.8,0,0,0,2,0,2,5,3,0,0,4,27.9,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,20,"2021-01-09"
