"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Jayson Tatum","BOS",22,1,1,0,23.2,16,6,12,50,3,5,60,1,1,100,0,4,4,3,0,1,0,0,28.3,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,20,"2020-12-30"
"Robert Williams III","BOS",23,1,1,0,22.8,6,3,4,75,0,0,0,0,0,0,4,6,10,2,2,1,4,2,34,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,20,"2020-12-30"
"Nicolas Batum","LAC",32,1,1,0,26.4,11,4,6,66.7,2,2,100,1,2,50,2,3,5,3,0,1,0,1,24.5,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,18,"2020-12-30"
"Paul George","LAC",30,1,1,0,28.5,23,8,15,53.3,4,9,44.4,3,4,75,0,10,10,7,3,2,0,1,48.5,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,32,"2020-12-30"
"Kawhi Leonard","LAC",29,1,1,0,30.4,28,9,17,52.9,3,5,60,7,8,87.5,1,2,3,7,0,3,1,4,54.1,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,31,"2020-12-30"
"P.J. Washington","CHA",22,1,1,0,17.6,11,4,6,66.7,1,2,50,2,2,100,1,1,2,3,2,0,0,5,15.9,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,9,"2020-12-30"
"Patrick Beverley","LAC",32,1,1,0,21,7,3,6,50,1,2,50,0,0,0,2,2,4,0,0,2,0,4,17.8,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,8,"2020-12-30"
"Jaylen Brown","BOS",24,1,1,0,29,42,15,21,71.4,7,10,70,5,6,83.3,1,4,5,4,4,1,0,1,53,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,42,"2020-12-30"
"Jeff Teague","BOS",32,1,1,0,21.3,4,2,6,33.3,0,2,0,0,0,0,0,5,5,4,1,4,0,1,27,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,13,"2020-12-30"
"Devonte' Graham","CHA",25,1,1,0,29.3,9,3,8,37.5,2,5,40,1,1,100,0,0,0,5,1,2,0,2,21.5,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,10,"2020-12-30"
