"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Nikola Jokic","DEN",25,1,1,0,31.7,19,8,12,66.7,0,1,0,3,3,100,3,9,12,12,7,0,0,5,44.4,1,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,29,"2021-01-03"
"Facundo Campazzo","DEN",29,1,1,0,21.4,15,5,8,62.5,5,7,71.4,0,0,0,0,1,1,2,1,3,1,0,30.2,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,20,"2021-01-03"
"Draymond Green","GSW",30,1,1,0,27.8,1,0,2,0,0,1,0,1,2,50,0,3,3,8,1,1,1,3,21.6,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,9,"2021-01-03"
"Mike Conley","UTA",33,1,1,0,26.9,15,6,11,54.5,3,6,50,0,0,0,0,0,0,4,4,1,0,2,20,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,11,"2021-01-03"
"Jordan Clarkson","UTA",28,1,1,0,23.4,18,8,13,61.5,2,6,33.3,0,0,0,0,3,3,3,4,2,0,1,28.1,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,18,"2021-01-03"
"Stephen Curry","GSW",32,1,1,0,36.4,62,18,31,58.1,8,16,50,18,19,94.7,1,4,5,4,5,0,0,0,69,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,1,54,"2021-01-03"
"Andrew Wiggins","GSW",25,1,1,0,35.3,21,8,16,50,1,5,20,4,7,57.1,1,6,7,2,2,0,2,5,36.4,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,3,16,"2021-01-03"
"LeBron James","LAL",36,1,1,0,32,22,9,16,56.3,3,6,50,1,3,33.3,0,13,13,8,2,1,0,2,50.6,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,33,"2021-01-03"
"Donovan Mitchell","UTA",24,1,1,0,28.6,22,8,17,47.1,5,9,55.6,1,1,100,2,2,4,9,4,0,0,1,36.3,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,23,"2021-01-03"
"Rudy Gobert","UTA",28,1,1,0,27.5,7,2,7,28.6,0,0,0,3,6,50,2,14,16,1,4,0,6,1,41.7,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,19,"2021-01-03"
"Paul George","LAC",30,1,1,0,38.3,39,15,24,62.5,7,10,70,2,2,100,0,3,3,4,5,2,1,6,52.6,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,31,"2021-01-03"
"Royce O'Neale","UTA",27,1,1,0,29.1,11,3,4,75,3,4,75,2,4,50,1,10,11,5,0,0,0,2,31.7,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,24,"2021-01-03"
"Davis Bertans","WAS",28,1,1,0,30.7,15,5,12,41.7,4,10,40,1,1,100,1,5,6,0,0,0,0,3,22.2,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0,13,"2021-01-03"
"Reggie Jackson","LAC",30,1,1,0,15.7,7,3,4,75,1,1,100,0,0,0,0,2,2,6,0,0,0,1,18.4,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,15,"2021-01-03"
"Joe Ingles","UTA",33,1,1,0,20.7,13,5,9,55.6,2,6,33.3,1,2,50,2,5,7,1,0,0,0,1,22.9,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,17,"2021-01-03"
"Bojan Bogdanovic","UTA",31,1,1,0,27,28,10,13,76.9,6,7,85.7,2,3,66.7,0,1,1,3,1,1,0,2,35.7,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,28,"2021-01-03"
"Devin Booker","PHX",24,1,0,1,44.7,25,7,13,53.8,1,3,33.3,10,12,83.3,1,4,5,8,2,0,0,2,41,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,26,"2021-01-03"
"Georges Niang","UTA",27,1,1,0,13.4,2,1,3,33.3,0,2,0,0,0,0,0,6,6,0,0,0,0,1,9.2,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,7,"2021-01-03"
"JaMychal Green","DEN",30,1,1,0,27.2,14,5,10,50,3,8,37.5,1,2,50,2,3,5,3,4,2,0,2,26.5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,14,"2021-01-03"
"PJ Dozier","DEN",24,1,1,0,19.7,7,3,8,37.5,1,3,33.3,0,0,0,2,2,4,0,0,0,0,0,11.8,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,8,"2021-01-03"
"Derrick Favors","UTA",29,1,1,0,15,6,2,3,66.7,0,0,0,2,3,66.7,1,3,4,2,0,0,2,2,19.8,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,12,"2021-01-03"
"Monte Morris","DEN",25,1,1,0,28.6,11,3,7,42.9,1,3,33.3,4,5,80,1,2,3,6,0,0,0,0,23.6,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,17,"2021-01-03"
"Thaddeus Young","CHI",32,1,1,0,28.4,7,3,6,50,1,2,50,0,0,0,3,1,4,1,3,1,0,3,13.3,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,6,"2021-01-03"
"Daniel Gafford","CHI",22,1,1,0,19.1,12,3,3,100,0,0,0,6,6,100,2,1,3,1,1,0,0,3,16.1,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,14,"2021-01-03"
"Dario Saric","PHX",26,1,0,1,17,15,6,9,66.7,2,5,40,1,2,50,1,3,4,1,2,1,0,3,22.3,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,12,"2021-01-03"
"Ivica Zubac","LAC",23,1,1,0,23.1,4,2,3,66.7,0,0,0,0,0,0,2,2,4,4,0,0,0,3,14.8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,10,"2021-01-03"
"James Wiseman","GSW",19,1,1,0,21.6,12,6,9,66.7,0,1,0,0,2,0,2,9,11,1,3,0,2,4,29.7,1,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,16,"2021-01-03"
"Montrezl Harrell","LAL",26,1,1,0,20.8,16,7,11,63.6,0,0,0,2,2,100,4,5,9,0,1,2,0,2,31.8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,22,"2021-01-03"
"Joe Harris","BKN",29,1,0,1,26.8,16,6,11,54.5,4,8,50,0,0,0,0,2,2,0,0,2,0,2,24.4,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,13,"2021-01-03"
"Kevin Durant","BKN",32,1,0,1,37.6,28,8,15,53.3,2,7,28.6,10,12,83.3,0,11,11,7,6,0,0,1,45.7,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,30,"2021-01-03"
"Kyrie Irving","BKN",28,1,0,1,39.1,30,10,20,50,2,7,28.6,8,8,100,0,5,5,10,5,2,2,3,58,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,31,"2021-01-03"
"Lou Williams","LAC",34,1,1,0,21.3,4,2,6,33.3,0,1,0,0,0,0,0,1,1,2,0,1,0,1,11.2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,5,"2021-01-03"
"Talen Horton-Tucker","LAL",20,1,1,0,23.7,7,3,9,33.3,1,4,25,0,0,0,2,4,6,2,1,0,0,1,16.2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,9,"2021-01-03"
"Kelly Oubre Jr.","GSW",25,1,1,0,33,17,7,13,53.8,1,5,20,2,2,100,2,3,5,0,1,2,1,3,31,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,17,"2021-01-03"
"Markieff Morris","LAL",31,1,1,0,14.4,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,"2021-01-03"
"Timothe Luwawu-Cabarrot","BKN",25,1,0,1,23.8,14,5,7,71.4,4,5,80,0,0,0,1,3,4,1,0,0,0,5,20.3,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,12,"2021-01-03"
"Jamal Murray","DEN",23,1,1,0,35.9,36,13,20,65,3,7,42.9,7,9,77.8,2,3,5,4,0,1,0,0,51,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2,39,"2021-01-03"
"Jerome Robinson","WAS",23,1,1,0,11.8,0,0,3,0,0,1,0,0,0,0,0,2,2,2,0,1,0,2,8.4,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,2,"2021-01-03"
"Garrett Temple","CHI",34,1,1,0,25.3,3,1,6,16.7,1,5,20,0,0,0,2,3,5,0,1,0,0,2,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,2,"2021-01-03"
