"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Tobias Harris","PHI",28,1,1,0,30.2,17,7,14,50,2,5,40,1,2,50,2,3,5,2,0,0,2,2,32,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,18,"2020-12-26"
"Seth Curry","PHI",30,1,1,0,29.9,17,6,8,75,3,4,75,2,2,100,0,4,4,3,0,1,0,0,29.3,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,25,"2020-12-26"
"Ben Simmons","PHI",24,1,1,0,32.9,15,5,9,55.6,0,0,0,5,8,62.5,1,8,9,6,3,1,2,4,40.8,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,21,"2020-12-26"
"Rudy Gay","SAS",34,1,1,0,27.1,8,2,6,33.3,1,4,25,3,4,75,1,4,5,2,3,0,0,3,14,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,6,"2020-12-26"
"Danny Green","PHI",33,1,1,0,28,6,2,6,33.3,2,6,33.3,0,0,0,1,4,5,3,1,4,0,2,27.5,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,13,"2020-12-26"
"Darius Garland","CLE",20,1,1,0,44,21,9,14,64.3,3,3,100,0,0,0,2,3,5,12,2,2,1,3,52,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,33,"2020-12-26"
"Joel Embiid","PHI",26,1,1,0,30.7,27,10,20,50,2,4,50,5,7,71.4,4,6,10,2,1,1,1,3,47,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,27,"2020-12-26"
"Aaron Gordon","ORL",25,1,1,0,29.7,15,6,12,50,1,2,50,2,4,50,1,8,9,3,0,0,0,3,30.3,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,18,"2020-12-26"
"Domantas Sabonis","IND",24,1,1,0,33.9,22,8,11,72.7,0,1,0,6,11,54.5,1,9,10,11,5,1,0,6,48.5,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,27,"2020-12-26"
"Isaac Okoro","CLE",19,1,1,0,41.6,0,0,4,0,0,3,0,0,0,0,0,3,3,0,2,1,0,4,4.6,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,-4,"2020-12-26"
