"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kentavious Caldwell-Pope","LAL",27,1,1,0,19.9,10,4,6,66.7,2,4,50,0,0,0,0,3,3,1,0,1,0,2,18.1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,13,"2021-01-13"
"Dennis Schroder","LAL",27,1,1,0,32,14,4,12,33.3,1,3,33.3,5,6,83.3,1,4,5,5,1,1,0,4,29.5,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,13,"2021-01-13"
"Josh Green","DAL",20,1,1,0,18,5,2,4,50,0,2,0,1,4,25,3,2,5,1,2,0,0,3,10.5,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,"2021-01-13"
"Anthony Davis","LAL",27,1,1,0,24.6,18,8,13,61.5,0,1,0,2,2,100,3,4,7,1,0,0,0,0,27.9,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,23,"2021-01-13"
"Grayson Allen","MEM",25,1,1,0,26.5,20,6,10,60,3,5,60,5,5,100,0,0,0,2,1,2,2,2,34,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,21,"2021-01-13"
"Marc Gasol","LAL",35,1,1,0,23,3,1,2,50,1,1,100,0,0,0,1,4,5,1,1,2,4,4,27.5,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,11,"2021-01-13"
"Donte DiVincenzo","MIL",23,1,1,0,25.6,7,3,9,33.3,1,5,20,0,0,0,1,9,10,3,0,0,0,1,23.5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,15,"2021-01-13"
"Joe Harris","BKN",29,1,1,0,26,15,6,13,46.2,3,8,37.5,0,0,0,0,2,2,3,0,0,0,1,21.9,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,14,"2021-01-13"
"LeBron James","LAL",36,1,1,0,27.5,26,9,20,45,5,8,62.5,3,4,75,0,6,6,7,2,0,0,2,41.7,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,1,25,"2021-01-13"
"Luka Doncic","DAL",21,1,1,0,34.8,34,14,25,56,5,9,55.6,1,2,50,2,11,13,9,4,2,4,3,77.1,1,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,1,45,"2021-01-13"
"Tim Frazier","MEM",30,1,1,0,11.6,0,0,3,0,0,1,0,0,0,0,0,1,1,2,0,1,0,3,7.2,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,"2021-01-13"
"Boban Marjanovic","DAL",32,1,1,0,15,8,3,6,50,0,0,0,2,2,100,3,2,5,0,0,0,0,1,14,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,11,"2021-01-13"
"Jeff Green","BKN",34,1,1,0,32.2,11,4,6,66.7,3,4,75,0,0,0,0,4,4,2,0,1,0,1,21.8,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,17,"2021-01-13"
"Markieff Morris","LAL",31,1,1,0,23.5,11,4,9,44.4,3,8,37.5,0,0,0,0,7,7,2,0,0,0,0,22.4,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,17,"2021-01-13"
"Montrezl Harrell","LAL",26,1,1,0,24.9,21,8,12,66.7,0,1,0,5,8,62.5,2,4,6,0,1,0,1,2,30.2,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,20,"2021-01-13"
"Trey Burke","DAL",28,1,1,0,32.4,8,2,12,16.7,2,8,25,2,3,66.7,1,1,2,4,1,1,0,2,18.4,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,1,3,"2021-01-13"
"Gary Trent Jr.","POR",21,1,1,0,23.5,16,6,8,75,4,5,80,0,0,0,1,0,1,4,0,2,0,1,29.2,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,22,"2021-01-13"
"Giannis Antetokounmpo","MIL",26,1,1,0,33.5,22,7,15,46.7,2,5,40,6,10,60,2,8,10,10,5,2,3,3,59,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,4,29,"2021-01-13"
"Kevin Durant","BKN",32,1,1,0,30.4,26,10,18,55.6,3,5,60,3,4,75,0,3,3,6,1,0,2,1,43.6,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,28,"2021-01-13"
"Brook Lopez","MIL",32,1,1,0,29.5,9,3,8,37.5,3,7,42.9,0,0,0,1,10,11,1,2,0,4,2,33.7,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,18,"2021-01-13"
"DeAndre Jordan","BKN",32,1,1,0,28.5,9,4,4,100,0,0,0,1,1,100,3,9,12,2,0,0,2,1,32.4,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26,"2021-01-13"
"Josh Jackson","DET",23,1,0,1,24.5,11,4,8,50,2,3,66.7,1,2,50,0,1,1,3,3,1,0,2,16.7,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,6,"2021-01-13"
