"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Caris LeVert","BKN",26,1,0,1,35.7,43,15,23,65.2,7,9,77.8,6,6,100,0,5,5,6,5,0,0,2,53,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,0,39,"2021-01-08"
"Bradley Beal","WAS",27,1,0,1,38.2,41,16,29,55.2,4,9,44.4,5,5,100,0,3,3,3,5,0,1,3,47.1,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,0,27,"2021-01-08"
"Stephen Curry","GSW",32,1,1,0,36.2,38,13,24,54.2,9,14,64.3,3,3,100,0,2,2,11,2,3,0,3,63.9,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,0,40,"2021-01-08"
"Zach LaVine","CHI",25,1,0,1,38.4,38,14,22,63.6,4,7,57.1,6,6,100,0,5,5,6,0,2,0,1,59,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,42,"2021-01-08"
"Giannis Antetokounmpo","MIL",26,1,0,1,32.7,35,14,25,56,2,5,40,5,7,71.4,1,7,8,4,2,0,1,2,51.6,0,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,2,31,"2021-01-08"
"Fred VanVleet","TOR",26,1,1,0,33.2,34,13,22,59.1,5,9,55.6,3,3,100,1,2,3,7,3,1,0,1,48.1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,34,"2021-01-08"
"Donovan Mitchell","UTA",24,1,1,0,32.4,32,12,24,50,4,9,44.4,4,6,66.7,1,4,5,7,1,0,1,2,50.5,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,2,30,"2021-01-08"
"Jayson Tatum","BOS",22,1,1,0,35.1,32,14,27,51.9,3,9,33.3,1,1,100,1,4,5,2,4,1,0,2,40,0,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,0,23,"2021-01-08"
"Jerami Grant","DET",26,1,1,0,42.3,31,10,15,66.7,3,5,60,8,11,72.7,1,9,10,2,2,0,1,5,47,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,31,"2021-01-08"
"Khris Middleton","MIL",29,1,0,1,36,31,11,19,57.9,3,8,37.5,6,6,100,2,8,10,4,2,0,0,3,47,1,0,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,32,"2021-01-08"
