"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Donovan Mitchell","UTA",24,1,1,0,34.2,36,11,19,57.9,6,8,75,8,8,100,3,4,7,5,4,0,1,3,50.9,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,0,36,"2021-01-21"
"LeBron James","LAL",36,1,1,0,38.1,34,13,25,52,6,10,60,2,2,100,1,5,6,8,3,1,1,2,56.2,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,0,35,"2021-01-21"
"Stephen Curry","GSW",32,1,0,1,34.7,30,9,19,47.4,5,14,35.7,7,8,87.5,0,3,3,4,4,2,0,3,41.6,0,0,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,1,21,"2021-01-21"
"RJ Barrett","NYK",20,1,1,0,36.8,28,10,17,58.8,2,3,66.7,6,8,75,1,1,2,5,2,0,0,4,35.9,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,22,"2021-01-21"
"Zion Williamson","NOP",20,1,0,1,34.4,27,9,14,64.3,1,1,100,8,10,80,3,0,3,2,1,0,0,0,32.6,0,0,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,24,"2021-01-21"
"Giannis Antetokounmpo","MIL",26,1,0,1,35,25,11,17,64.7,1,3,33.3,2,4,50,1,11,12,3,9,0,1,6,37.9,1,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,18,"2021-01-21"
"Brandon Ingram","NOP",23,1,0,1,33.1,23,8,14,57.1,4,6,66.7,3,4,75,0,1,1,2,1,1,0,1,29.2,0,0,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1,18,"2021-01-21"
"Kentavious Caldwell-Pope","LAL",27,1,1,0,27.3,23,7,10,70,7,10,70,2,2,100,0,3,3,0,2,0,1,0,27.6,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,24,"2021-01-21"
"Jrue Holiday","MIL",30,1,0,1,38.5,22,10,18,55.6,2,7,28.6,0,0,0,1,4,5,7,1,1,0,2,40.5,0,0,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,24,"2021-01-21"
"Khris Middleton","MIL",29,1,0,1,36.4,20,6,15,40,3,6,50,5,6,83.3,0,5,5,7,1,0,0,2,35.5,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,1,19,"2021-01-21"
"Mike Conley","UTA",33,1,1,0,31.1,20,8,14,57.1,2,5,40,2,2,100,1,1,2,6,3,3,1,4,40.4,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,21,"2021-01-21"
"Jordan Clarkson","UTA",28,1,1,0,23.9,19,6,15,40,3,10,30,4,4,100,1,2,3,0,2,2,0,1,26.6,0,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,0,14,"2021-01-21"
"Anthony Davis","LAL",27,1,1,0,37.8,18,8,18,44.4,0,1,0,2,5,40,0,9,9,6,2,1,2,3,44.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,3,20,"2021-01-21"
"Mitchell Robinson","NYK",22,1,1,0,27.4,18,8,11,72.7,0,0,0,2,2,100,4,4,8,1,0,1,2,4,38.1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,25,"2021-01-21"
