"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kevin Durant","BKN",32,1,1,0,40,42,16,26,61.5,5,8,62.5,5,5,100,0,4,4,5,6,2,2,0,60.3,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,0,41,"2021-01-16"
"Damian Lillard","POR",30,1,1,0,42.7,36,10,23,43.5,4,12,33.3,12,12,100,0,7,7,7,3,1,0,3,54.9,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,0,34,"2021-01-16"
"Nikola Vucevic","ORL",30,1,0,1,35.7,34,14,22,63.6,6,12,50,0,0,0,4,6,10,7,4,5,0,4,67.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,0,40,"2021-01-16"
"James Harden","BKN",31,1,1,0,39.8,32,8,18,44.4,3,10,30,13,15,86.7,1,11,12,14,9,4,1,3,73.4,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2,41,"2021-01-16"
"Bam Adebayo","MIA",23,1,0,1,33.7,28,8,11,72.7,0,0,0,12,12,100,1,6,7,6,2,0,3,2,52.4,0,0,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,37,"2021-01-16"
"Shake Milton","PHI",24,1,0,1,32.5,28,10,18,55.6,2,5,40,6,7,85.7,1,2,3,4,5,2,0,2,38.6,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,1,21,"2021-01-16"
"Trae Young","ATL",22,1,0,1,38.9,26,7,23,30.4,1,9,11.1,11,12,91.7,0,7,7,11,5,0,0,2,45.9,1,0,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,16,1,20,"2021-01-16"
"Clint Capela","ATL",26,1,0,1,36.5,25,11,16,68.8,0,0,0,3,5,60,4,11,15,0,2,1,4,4,56,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,32,"2021-01-16"
"Gordon Hayward","CHA",30,1,0,1,38.2,25,7,13,53.8,1,3,33.3,10,10,100,0,5,5,3,1,1,0,2,37.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,25,"2021-01-16"
"Christian Wood","HOU",25,1,0,1,40.8,24,9,20,45,1,3,33.3,5,8,62.5,6,12,18,3,2,0,3,0,57.1,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,3,32,"2021-01-16"
