"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","X...","GP.RANK","W.RANK","L.RANK","MIN.RANK","PTS.RANK","FGM.RANK","FGA.RANK","FG..RANK","X3PM.RANK","X3PA.RANK","X3P..RANK","FTM.RANK","FTA.RANK","FT..RANK","OREB.RANK","DREB.RANK","REB.RANK","AST.RANK","TOV.RANK","STL.RANK","BLK.RANK","PF.RANK","FP.RANK","DD2.RANK","TD3.RANK","X....RANK","X3PTMissed","FG_Missed","FTMissed","score","day"
"Lonzo Ball","NOP",23,1,1,0,37.4,16,7,14,50,1,5,20,1,2,50,1,7,8,5,2,5,0,2,46.1,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,24,"2020-12-27"
"Kevin Durant","BKN",32,1,0,1,36.4,29,9,15,60,5,7,71.4,6,9,66.7,0,3,3,4,3,0,1,3,38.6,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,22,"2020-12-27"
"Kyrie Irving","BKN",28,1,0,1,36.4,25,10,17,58.8,3,8,37.5,2,2,100,0,3,3,6,4,1,0,1,36.6,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,23,"2020-12-27"
"P.J. Washington","CHA",22,1,1,0,34.6,14,6,16,37.5,0,2,0,2,6,33.3,6,6,12,5,3,2,0,5,38.9,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,4,13,"2020-12-27"
"Bobby Portis","MIL",25,1,0,1,26.1,17,7,12,58.3,1,2,50,2,2,100,5,2,7,2,1,1,1,5,33.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,17,"2020-12-27"
"Dakota Mathias","PHI",25,1,0,1,7.1,8,3,6,50,2,4,50,0,0,0,0,1,1,2,0,0,0,0,12.2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,8,"2020-12-27"
"Devin Vassell","SAS",20,1,0,1,12.2,0,0,4,0,0,2,0,0,0,0,0,2,2,1,0,0,0,1,3.9,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,-2,"2020-12-27"
"Isaiah Joe","PHI",21,1,0,1,7.1,2,1,2,50,0,1,0,0,0,0,0,1,1,1,0,1,0,0,7.7,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4,"2020-12-27"
"Jordan Nwora","MIL",22,1,0,1,7.5,9,4,6,66.7,1,2,50,0,0,0,0,2,2,0,2,0,0,0,9.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,7,"2020-12-27"
"Patrick Williams","CHI",19,1,0,1,26.4,6,2,5,40,0,1,0,2,2,100,1,3,4,2,2,0,3,1,20.8,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,9,"2020-12-27"
"Sam Merrill","MIL",24,1,0,1,7.5,3,1,2,50,1,1,100,0,0,0,1,2,3,2,0,0,0,1,9.6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,6,"2020-12-27"
"Terrance Ferguson","PHI",22,1,0,1,7.1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,-2,"2020-12-27"
"Cody Martin","CHA",25,1,1,0,17.7,4,2,6,33.3,0,3,0,0,0,0,2,4,6,4,1,0,0,1,16.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,10,"2020-12-27"
"Damyean Dotson","CLE",26,1,1,0,19.7,5,2,5,40,1,3,33.3,0,0,0,0,1,1,1,2,1,0,0,8.7,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,5,"2020-12-27"
"Frank Ntilikina","NYK",22,1,1,0,18.7,12,4,6,66.7,4,4,100,0,0,0,0,1,1,0,1,0,0,4,12.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,8,"2020-12-27"
"Jahmi'us Ramsey","SAC",19,1,0,1,2.8,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2020-12-27"
"Justin James","SAC",23,1,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"2020-12-27"
"Langston Galloway","PHX",29,1,1,0,14.3,9,3,4,75,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,10,"2020-12-27"
"Robert Woodard II","SAC",21,1,0,1,2.8,2,1,2,50,0,1,0,0,2,0,0,1,1,0,1,0,0,0,2.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,-1,"2020-12-27"
"Talen Horton-Tucker","LAL",20,1,1,0,20.8,12,4,12,33.3,2,5,40,2,2,100,0,2,2,3,0,2,1,2,27.9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,12,"2020-12-27"
"Alex Caruso","LAL",26,1,1,0,10.5,7,3,4,75,1,2,50,0,0,0,0,2,2,0,0,0,0,1,9.4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,9,"2020-12-27"
"Boban Marjanovic","DAL",32,1,1,0,10.3,4,2,4,50,0,2,0,0,2,0,2,3,5,0,1,0,0,0,9,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,"2020-12-27"
"Chandler Hutchison","CHI",24,1,0,1,19.5,7,3,5,60,1,2,50,0,0,0,0,8,8,4,1,1,0,2,24.6,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,15,"2020-12-27"
"Nerlens Noel","NYK",26,1,1,0,13.3,2,1,1,100,0,0,0,0,0,0,1,3,4,0,3,0,1,1,6.8,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,"2020-12-27"
"Domantas Sabonis","IND",24,1,1,0,40.6,19,8,18,44.4,2,4,50,1,3,33.3,2,8,10,5,4,0,1,2,37.5,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,19,"2020-12-27"
"Grant Williams","BOS",22,1,0,1,22.9,6,2,4,50,1,2,50,1,4,25,2,2,4,0,1,0,0,4,9.8,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,0,"2020-12-27"
"Keldon Johnson","SAS",21,1,0,1,30.8,14,5,10,50,2,5,40,2,2,100,2,9,11,5,2,1,2,3,41.7,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,23,"2020-12-27"
"Kyle Guy","SAC",23,1,0,1,5.8,5,1,2,50,1,1,100,2,2,100,0,2,2,1,0,0,0,0,8.9,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,"2020-12-27"
"Marvin Bagley III","SAC",21,1,0,1,27.5,11,5,13,38.5,1,2,50,0,0,0,0,8,8,1,3,1,0,4,22.1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,6,"2020-12-27"
"Myles Turner","IND",24,1,1,0,29.3,10,3,10,30,0,4,0,4,4,100,3,4,7,0,1,2,5,2,38.4,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,16,"2020-12-27"
"Stephen Curry","GSW",32,1,1,0,36.4,36,11,25,44,5,15,33.3,9,9,100,0,2,2,6,4,2,2,1,55.4,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,0,31,"2020-12-27"
"Timothe Luwawu-Cabarrot","BKN",25,1,0,1,12,11,4,4,100,3,3,100,0,0,0,0,0,0,0,1,1,0,2,13,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9,"2020-12-27"
"Torrey Craig","MIL",30,1,0,1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2020-12-27"
"Andrew Wiggins","GSW",25,1,1,0,36.4,19,6,15,40,2,3,66.7,5,6,83.3,2,7,9,4,0,0,1,2,38.8,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,23,"2020-12-27"
"DeAndre Jordan","BKN",32,1,0,1,19,1,0,2,0,0,0,0,1,2,50,1,11,12,2,2,0,1,3,19.4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,8,"2020-12-27"
"Joe Harris","BKN",29,1,0,1,32.3,13,5,12,41.7,3,7,42.9,0,0,0,0,2,2,1,3,0,0,2,13.9,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,4,"2020-12-27"
"Josh Green","DAL",20,1,1,0,11.6,4,1,3,33.3,0,0,0,2,2,100,0,2,2,2,1,0,0,0,8.4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,7,"2020-12-27"
"Kevin Love","CLE",32,1,1,0,8.8,4,2,6,33.3,0,1,0,0,0,0,1,2,3,2,0,1,0,0,13.6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,8,"2020-12-27"
"Miles Bridges","CHA",22,1,1,0,27.7,10,4,9,44.4,2,5,40,0,0,0,0,4,4,3,2,1,2,3,26.3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,12,"2020-12-27"
"Richaun Holmes","SAC",27,1,0,1,24.9,8,3,5,60,0,0,0,2,2,100,2,9,11,0,2,2,1,4,28.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,14,"2020-12-27"
"Spencer Dinwiddie","BKN",27,1,0,1,15.2,5,2,4,50,1,2,50,0,0,0,0,4,4,3,0,0,0,0,14.3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,10,"2020-12-27"
"T.J. McConnell","IND",28,1,1,0,19.1,2,1,2,50,0,0,0,0,0,0,0,3,3,7,3,1,0,2,16.1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,9,"2020-12-27"
"Tyrell Terry","DAL",20,1,1,0,8.8,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,4.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,"2020-12-27"
"Wes Iwundu","DAL",26,1,1,0,11.6,6,3,6,50,0,2,0,0,0,0,0,1,1,0,0,1,0,1,10.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,6,"2020-12-27"
"Gordon Hayward","CHA",30,1,1,0,35.6,28,12,20,60,2,3,66.7,2,2,100,1,5,6,7,0,1,0,1,48.7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,35,"2020-12-27"
"Jarred Vanderbilt","MIN",21,1,0,1,15.5,2,0,3,0,0,0,0,2,4,50,2,5,7,6,1,3,1,0,30.4,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,13,"2020-12-27"
"Jaylen Brown","BOS",24,1,0,1,33.6,18,8,13,61.5,0,1,0,2,2,100,0,2,2,4,2,2,1,4,33.4,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,16,"2020-12-27"
"Markieff Morris","LAL",31,1,1,0,15.1,7,3,7,42.9,1,4,25,0,0,0,1,5,6,1,1,0,2,3,20.7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,10,"2020-12-27"
"Raul Neto","WAS",28,1,0,1,32.2,22,10,17,58.8,2,8,25,0,0,0,2,2,4,5,2,3,0,2,41.3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0,23,"2020-12-27"
"Reggie Bullock","NYK",29,1,1,0,16.9,7,2,5,40,1,2,50,2,2,100,0,3,3,1,1,0,0,2,11.1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,7,"2020-12-27"
"Thomas Bryant","WAS",23,1,0,1,32.5,16,8,15,53.3,0,2,0,0,0,0,4,3,7,5,1,1,1,5,36.9,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,17,"2020-12-27"
"Tristan Thompson","BOS",29,1,0,1,22.3,7,3,7,42.9,0,0,0,1,2,50,1,7,8,0,3,0,1,1,16.6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,7,"2020-12-27"
"Alfonzo McKinnie","LAL",28,1,1,0,7.7,8,3,3,100,0,0,0,2,2,100,1,1,2,0,1,0,0,1,9.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,"2020-12-27"
"JaVale McGee","CLE",32,1,1,0,16.4,7,2,6,33.3,1,2,50,2,2,100,0,6,6,2,2,0,2,2,21.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,11,"2020-12-27"
"Jaden McDaniels","MIN",20,1,0,1,7.7,6,2,3,66.7,2,3,66.7,0,0,0,0,1,1,0,0,2,1,2,16.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,7,"2020-12-27"
"Jared Dudley","LAL",35,1,1,0,7.7,3,1,1,100,1,1,100,0,0,0,0,2,2,0,0,0,0,0,5.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,"2020-12-27"
"Jeff Teague","BOS",32,1,0,1,21.9,9,0,6,0,0,0,0,9,10,90,0,3,3,2,1,2,0,2,20.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,6,"2020-12-27"
"Kostas Antetokounmpo","LAL",23,1,1,0,7.7,0,0,2,0,0,0,0,0,0,0,0,4,4,0,2,0,2,1,8.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,3,"2020-12-27"
"Mychal Mulder","GSW",26,1,1,0,10.6,7,2,6,33.3,2,5,40,1,2,50,0,0,0,0,0,1,0,1,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,"2020-12-27"
"Quinn Cook","LAL",27,1,1,0,8.6,5,2,5,40,0,3,0,1,1,100,0,1,1,2,0,0,0,0,9.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,7,"2020-12-27"
"Semi Ojeleye","BOS",26,1,0,1,12.4,2,1,3,33.3,0,2,0,0,0,0,0,1,1,1,1,0,0,1,3.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,"2020-12-27"
"Thanasis Antetokounmpo","MIL",28,1,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"2020-12-27"
"Bradley Beal","WAS",27,1,0,1,39.1,29,10,29,34.5,0,7,0,9,9,100,0,5,5,7,1,0,1,1,47.5,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,0,21,"2020-12-27"
"Deandre Ayton","PHX",22,1,1,0,29.3,11,5,11,45.5,1,2,50,0,0,0,3,12,15,4,1,0,0,2,34,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,23,"2020-12-27"
"Lamar Stevens","CLE",23,1,1,0,4.7,2,0,1,0,0,0,0,2,2,100,0,2,2,0,0,0,0,0,4.4,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,5,"2020-12-27"
"Zion Williamson","NOP",20,1,1,0,38,18,7,22,31.8,0,1,0,4,7,57.1,5,6,11,0,1,5,1,3,48.2,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,3,15,"2020-12-27"
"Caleb Martin","CHA",25,1,1,0,4.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,"2020-12-27"
"Jalen McDaniels","CHA",22,1,1,0,4.1,0,0,3,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4.2,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,"2020-12-27"
"Juan Toscano-Anderson","GSW",27,1,1,0,19.2,5,2,3,66.7,1,2,50,0,0,0,0,5,5,1,1,1,0,1,14.5,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,11,"2020-12-27"
"Justin Holiday","IND",31,1,1,0,28.1,13,5,7,71.4,0,1,0,3,3,100,1,3,4,1,1,1,0,5,21.3,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,13,"2020-12-27"
"Otto Porter Jr.","CHI",27,1,0,1,20.8,12,3,4,75,3,4,75,3,4,75,2,4,6,3,3,0,0,2,20.7,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,14,"2020-12-27"
"T.J. Warren","IND",27,1,1,0,37.5,17,8,14,57.1,0,1,0,1,1,100,0,5,5,1,2,1,0,5,25.5,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,13,"2020-12-27"
"Bismack Biyombo","CHA",28,1,1,0,29.6,12,5,6,83.3,0,0,0,2,4,50,4,2,6,1,1,0,1,5,22.7,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,13,"2020-12-27"
"Brad Wanamaker","GSW",31,1,1,0,14.4,2,1,4,25,0,2,0,0,0,0,0,1,1,5,2,4,0,1,20.7,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,8,"2020-12-27"
"Jarrett Allen","BKN",22,1,0,1,25.3,8,1,2,50,0,0,0,6,8,75,4,10,14,1,2,0,1,1,27.3,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,18,"2020-12-27"
"Marques Bolden","CLE",22,1,1,0,5.9,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,"2020-12-27"
"Thon Maker","CLE",23,1,1,0,5.9,2,1,1,100,0,0,0,0,0,0,1,1,2,0,1,0,0,2,3.4,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2020-12-27"
"Tomas Satoransky","CHI",29,1,0,1,22.8,3,1,3,33.3,0,1,0,1,1,100,0,1,1,3,3,0,0,2,5.7,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,"2020-12-27"
"Daniel Oturu","LAC",21,1,0,1,12,4,2,4,50,0,1,0,0,0,0,0,2,2,0,1,0,1,2,8.4,0,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,"2020-12-27"
"Danny Green","PHI",33,1,0,1,17.5,4,1,2,50,0,1,0,2,2,100,1,2,3,1,1,0,1,1,11.1,0,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,6,"2020-12-27"
"Eric Bledsoe","NOP",31,1,1,0,28.4,7,3,11,27.3,1,5,20,0,0,0,1,1,2,0,1,1,1,1,14.4,0,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,3,"2020-12-27"
