"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Tobias Harris","PHI",28,1,1,0,36.8,24,9,14,64.3,4,7,57.1,2,2,100,0,9,9,6,5,4,3,2,59.8,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,36,"2021-01-02"
"Joel Embiid","PHI",26,1,1,0,36.7,19,7,11,63.6,1,2,50,4,6,66.7,3,11,14,4,5,1,1,2,42.8,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,28,"2021-01-02"
"Eric Bledsoe","NOP",31,1,1,0,31.3,19,5,12,41.7,4,6,66.7,5,6,83.3,2,3,5,10,0,1,1,3,46,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,27,"2021-01-02"
"Danuel House Jr.","HOU",27,1,1,0,35.5,5,1,4,25,1,4,25,2,2,100,1,5,6,1,0,0,1,2,16.7,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,10,"2021-01-02"
"JaVale McGee","CLE",32,1,1,0,24.9,14,6,11,54.5,0,0,0,2,5,40,5,4,9,4,2,2,1,4,37.8,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,18,"2021-01-02"
"Seth Curry","PHI",30,1,1,0,34.3,21,8,11,72.7,3,6,50,2,2,100,0,0,0,6,2,1,1,0,34,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,26,"2021-01-02"
"Aleksej Pokusevski","OKC",19,1,1,0,14.3,0,0,1,0,0,1,0,0,0,0,0,2,2,0,2,1,0,0,3.4,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,"2021-01-02"
"Ben Simmons","PHI",24,1,1,0,36.5,15,6,9,66.7,0,0,0,3,5,60,1,11,12,11,4,1,1,4,47.9,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,29,"2021-01-02"
"Chris Boucher","TOR",27,1,0,1,28.6,24,7,13,53.8,1,4,25,9,9,100,2,3,5,1,0,2,1,5,40.5,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,22,"2021-01-02"
"Eric Gordon","HOU",32,1,1,0,32.9,21,7,18,38.9,3,12,25,4,4,100,0,3,3,4,3,2,1,2,36.6,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,0,17,"2021-01-02"
"Mike Muscala","OKC",29,1,1,0,20.2,8,2,6,33.3,1,4,25,3,3,100,0,6,6,0,2,0,1,1,16.2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,10,"2021-01-02"
"Mitchell Robinson","NYK",22,1,1,0,29.1,16,8,10,80,0,0,0,0,0,0,6,3,9,1,0,0,2,3,34.3,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,25,"2021-01-02"
"Hamidou Diallo","OKC",22,1,1,0,18.9,12,5,9,55.6,1,1,100,1,2,50,2,6,8,0,1,0,0,4,20.6,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,12,"2021-01-02"
"Larry Nance Jr.","CLE",28,1,1,0,36.6,9,3,10,30,1,4,25,2,2,100,4,7,11,6,1,3,0,1,39.2,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,22,"2021-01-02"
"Sterling Brown","HOU",25,1,1,0,26.4,11,4,6,66.7,3,5,60,0,0,0,0,6,6,1,0,1,0,2,22.7,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,17,"2021-01-02"
"Theo Maledon","OKC",19,1,1,0,19.4,12,5,7,71.4,1,3,33.3,1,1,100,1,2,3,4,1,1,0,2,23.6,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,17,"2021-01-02"
"Zion Williamson","NOP",20,1,1,0,32.8,21,7,12,58.3,0,0,0,7,10,70,2,5,7,1,3,0,1,2,30.9,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,19,"2021-01-02"
"Darius Garland","CLE",20,1,1,0,34.3,8,3,14,21.4,0,3,0,2,3,66.7,0,2,2,2,5,1,1,4,14.4,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,1,-5,"2021-01-02"
"Jae'Sean Tate","HOU",25,1,1,0,20.5,5,1,3,33.3,0,1,0,3,4,75,1,1,2,1,0,2,0,1,14.9,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,8,"2021-01-02"
"John Collins","ATL",23,1,0,1,34.1,10,3,10,30,1,5,20,3,4,75,0,4,4,5,2,0,1,3,23.3,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,7,"2021-01-02"
"Danny Green","PHI",33,1,1,0,25.8,13,4,7,57.1,3,6,50,2,3,66.7,1,1,2,4,1,0,0,3,20.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,13,"2021-01-02"
"Elfrid Payton","NYK",26,1,1,0,33.7,19,8,17,47.1,0,1,0,3,4,75,3,5,8,5,3,0,0,0,33.1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,21,"2021-01-02"
"Julius Randle","NYK",26,1,1,0,37,12,5,16,31.3,2,5,40,0,0,0,0,11,11,8,4,2,0,3,39.2,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,0,17,"2021-01-02"
"Reggie Bullock","NYK",29,1,1,0,33.3,6,2,6,33.3,2,5,40,0,1,0,0,7,7,1,1,1,0,4,17.9,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,7,"2021-01-02"
"T.J. McConnell","IND",28,1,0,1,12,2,1,2,50,0,1,0,0,0,0,0,0,0,5,0,0,0,2,9.5,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4,"2021-01-02"
"Cedi Osman","CLE",25,1,1,0,25.8,11,4,12,33.3,3,9,33.3,0,0,0,0,4,4,2,0,0,0,1,18.8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,0,10,"2021-01-02"
"David Nwaba","HOU",27,1,1,0,9.9,5,2,5,40,1,2,50,0,0,0,0,2,2,0,0,1,0,3,10.4,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,4,"2021-01-02"
"De'Andre Hunter","ATL",23,1,0,1,30.9,17,5,11,45.5,2,4,50,5,6,83.3,1,4,5,2,3,2,1,1,32,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1,16,"2021-01-02"
"Doug McDermott","IND",29,1,0,1,20.3,9,3,13,23.1,2,9,22.2,1,1,100,0,0,0,0,0,0,0,0,9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,0,-1,"2021-01-02"
"Kyle Guy","SAC",23,1,0,1,6.3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,-3,"2021-01-02"
"RJ Barrett","NYK",20,1,1,0,42.3,25,8,15,53.3,4,5,80,5,6,83.3,0,5,5,3,1,0,0,1,34.5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,25,"2021-01-02"
"Richaun Holmes","SAC",27,1,0,1,33,11,4,8,50,0,0,0,3,3,100,3,6,9,0,0,0,2,3,27.8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,15,"2021-01-02"
"Shake Milton","PHI",24,1,1,0,25.2,18,7,13,53.8,3,8,37.5,1,2,50,1,3,4,1,1,1,0,2,26.3,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,16,"2021-01-02"
"Justin Holiday","IND",31,1,0,1,28.5,12,4,5,80,4,5,80,0,0,0,0,1,1,2,0,1,1,3,22.2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,13,"2021-01-02"
"Kenrich Williams","OKC",26,1,1,0,14.6,2,0,5,0,0,1,0,2,2,100,2,3,5,0,0,0,0,1,8,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,3,"2021-01-02"
"Luguentz Dort","OKC",21,1,1,0,30.2,9,2,7,28.6,1,4,25,4,4,100,0,4,4,0,1,1,1,4,18.8,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,7,"2021-01-02"
"Steven Adams","NOP",27,1,1,0,31.4,13,4,7,57.1,0,0,0,5,8,62.5,4,6,10,1,3,2,0,2,29.5,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,17,"2021-01-02"
"Brandon Ingram","NOP",23,1,1,0,35.3,31,8,17,47.1,4,8,50,11,14,78.6,0,6,6,4,3,0,1,2,44.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,3,27,"2021-01-02"
"Cam Reddish","ATL",21,1,0,1,24,2,1,4,25,0,1,0,0,0,0,1,1,2,1,2,1,0,3,6.9,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,-2,"2021-01-02"
"Clint Capela","ATL",26,1,0,1,30.9,16,8,12,66.7,0,0,0,0,5,0,8,8,16,0,3,3,2,4,47.2,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,21,"2021-01-02"
"Dante Exum","CLE",25,1,1,0,34.6,6,3,8,37.5,0,3,0,0,0,0,1,4,5,1,2,1,0,3,14.5,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,5,"2021-01-02"
"Fred VanVleet","TOR",26,1,0,1,39.7,27,9,23,39.1,4,13,30.8,5,5,100,2,6,8,5,0,1,1,3,50.1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,0,25,"2021-01-02"
"JJ Redick","NOP",36,1,1,0,21.2,5,1,4,25,0,3,0,3,3,100,0,2,2,3,0,0,0,0,11.9,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,9,"2021-01-02"
"Lonzo Ball","NOP",23,1,1,0,35.3,13,5,14,35.7,3,8,37.5,0,0,0,1,3,4,4,0,0,2,3,29.8,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,13,"2021-01-02"
"Matisse Thybulle","PHI",23,1,1,0,15.4,3,1,4,25,1,4,25,0,0,0,1,0,1,1,0,1,1,2,11.7,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,4,"2021-01-02"
"Trae Young","ATL",22,1,0,1,34.1,16,6,16,37.5,2,5,40,2,4,50,1,3,4,10,6,1,0,2,32.8,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,11,"2021-01-02"
"Austin Rivers","NYK",28,1,1,0,17.4,15,6,9,66.7,3,6,50,0,0,0,0,2,2,2,3,0,0,1,17.4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,14,"2021-01-02"
"Christian Wood","HOU",25,1,1,0,33.4,20,7,14,50,2,7,28.6,4,7,57.1,3,12,15,1,1,1,4,5,53.5,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,3,27,"2021-01-02"
"Damyean Dotson","CLE",26,1,1,0,13.4,7,3,6,50,1,3,33.3,0,0,0,0,1,1,0,0,0,0,1,8.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,6,"2021-01-02"
"Dean Wade","CLE",24,1,1,0,9.1,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,"2021-01-02"
"Miles Bridges","CHA",22,1,0,1,24.1,8,4,11,36.4,0,5,0,0,0,0,2,2,4,2,3,1,2,1,21.8,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,6,"2021-01-02"
