"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Bradley Beal","WAS",27,1,0,1,38.3,60,20,35,57.1,7,10,70,13,15,86.7,4,3,7,5,4,1,0,3,74.9,0,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,2,49,2021-01-06
"Gordon Hayward","CHA",30,1,1,0,39.1,44,15,25,60,4,9,44.4,10,12,83.3,2,5,7,2,1,1,1,3,60.4,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,2,41,2021-01-06
"Joel Embiid","PHI",26,1,1,0,36.6,38,11,20,55,3,4,75,13,13,100,0,8,8,5,5,3,3,1,68.1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,44,2021-01-06
"Coby White","CHI",20,1,0,1,39.6,36,15,23,65.2,4,9,44.4,2,2,100,0,3,3,7,0,0,0,1,50.1,0,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,37,2021-01-06
"Malcolm Brogdon","IND",28,1,1,0,39.1,35,13,25,52,4,6,66.7,5,5,100,1,1,2,7,1,3,0,3,55.9,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,0,33,2021-01-06
"Nikola Jokic","DEN",25,1,1,0,36.6,35,12,20,60,1,1,100,10,12,83.3,5,10,15,6,4,3,1,5,70,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,2,43,2021-01-06
"D'Angelo Russell","MIN",24,1,0,1,37.4,33,10,21,47.6,4,9,44.4,9,10,90,0,3,3,11,3,2,0,3,56.1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,1,31,2021-01-06
"Luka Doncic","DAL",21,1,1,0,37.9,33,12,25,48,3,10,30,6,6,100,2,14,16,11,8,0,0,3,60.7,1,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,0,38,2021-01-06
"Pascal Siakam","TOR",26,1,0,1,38.1,32,11,21,52.4,1,4,25,9,14,64.3,4,5,9,3,1,1,1,3,52.3,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,5,27,2021-01-06
"Zach LaVine","CHI",25,1,0,1,36.4,32,13,24,54.2,3,11,27.3,3,5,60,0,7,7,3,6,0,1,3,41.9,0,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,2,21,2021-01-06
"Jerami Grant","DET",26,1,0,1,35.3,31,9,20,45,2,6,33.3,11,11,100,4,6,10,1,0,0,0,2,44.5,1,0,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,0,29,2021-01-06
"Julius Randle","NYK",26,1,1,0,39.5,30,10,26,38.5,0,5,0,10,12,83.3,3,13,16,7,5,0,0,4,54.7,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,2,28,2021-01-06
"Tim Hardaway Jr.","DAL",28,1,1,0,31.3,30,11,14,78.6,8,10,80,0,0,0,0,7,7,2,2,0,0,1,39.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,35,2021-01-06
"Kyrie Irving","BKN",28,1,1,0,29.6,29,12,19,63.2,5,7,71.4,0,0,0,0,6,6,5,2,3,0,3,50.7,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,33,2021-01-06
"Zion Williamson","NOP",20,1,0,1,32.4,29,12,17,70.6,0,0,0,5,6,83.3,3,3,6,1,2,3,0,3,44.7,0,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,28,2021-01-06
"John Wall","HOU",30,1,0,1,37.1,28,12,20,60,0,3,0,4,4,100,1,5,6,3,5,2,1,1,43.7,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,26,2021-01-06
"Seth Curry","PHI",30,1,1,0,36.3,28,11,14,78.6,6,7,85.7,0,0,0,0,5,5,3,1,0,0,1,37.5,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,33,2021-01-06
"Jayson Tatum","BOS",22,1,1,0,37.5,27,10,21,47.6,5,8,62.5,2,2,100,0,5,5,4,2,1,0,4,40,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,0,22,2021-01-06
