"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Mikal Bridges","PHX",24,1,1,0,30.1,13,4,7,57.1,1,2,50,4,4,100,2,5,7,0,0,2,0,1,27.4,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,20,"2020-12-29"
"Donte DiVincenzo","MIL",23,1,1,0,19.3,17,6,8,75,5,6,83.3,0,0,0,0,1,1,2,1,2,0,2,26.2,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,19,"2020-12-29"
"Khris Middleton","MIL",29,1,1,0,25.3,25,10,13,76.9,4,5,80,1,1,100,2,2,4,5,5,2,0,3,38.3,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,27,"2020-12-29"
"Bobby Portis","MIL",25,1,1,0,26.3,11,4,10,40,1,3,33.3,2,2,100,3,6,9,1,2,1,0,4,24.3,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,12,"2020-12-29"
"Jrue Holiday","MIL",30,1,1,0,26.2,24,9,15,60,6,10,60,0,0,0,0,3,3,7,0,3,1,1,50.1,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,33,"2020-12-29"
"Lou Williams","LAC",34,1,1,0,20.2,20,7,11,63.6,1,2,50,5,6,83.3,1,2,3,5,1,0,0,0,30.1,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,24,"2020-12-29"
"Devin Booker","PHX",24,1,1,0,25.6,8,3,9,33.3,2,7,28.6,0,0,0,0,6,6,3,2,2,0,3,23.7,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,10,"2020-12-29"
"Cameron Johnson","PHX",24,1,1,0,22.4,18,6,13,46.2,4,10,40,2,2,100,0,2,2,0,0,1,2,2,29.4,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0,16,"2020-12-29"
"Giannis Antetokounmpo","MIL",26,1,1,0,24.2,9,3,9,33.3,0,2,0,3,5,60,0,6,6,6,2,3,0,2,32.2,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,14,"2020-12-29"
"James Wiseman","GSW",19,1,1,0,21.7,6,3,9,33.3,0,2,0,0,0,0,1,5,6,1,2,0,2,6,18.7,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,3,"2020-12-29"
"Thanasis Antetokounmpo","MIL",28,1,1,0,20,5,2,3,66.7,1,2,50,0,0,0,1,4,5,4,4,1,0,2,16,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,10,"2020-12-29"
"Brook Lopez","MIL",32,1,1,0,18.2,14,4,5,80,3,4,75,3,3,100,0,2,2,0,1,0,0,1,15.4,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,15,"2020-12-29"
