"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Grant Williams","BOS",22,1,1,0,23.9,14,5,9,55.6,3,4,75,1,1,100,2,4,6,0,3,0,3,5,27.2,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,13,"2021-01-04"
"Luka Doncic","DAL",21,1,1,0,37.9,33,12,25,48,3,10,30,6,6,100,2,14,16,11,8,0,0,3,60.7,1,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,0,38,"2021-01-04"
"Stephen Curry","GSW",32,1,1,0,30.6,30,9,18,50,5,12,41.7,7,7,100,0,9,9,8,2,0,0,3,50.8,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,0,35,"2021-01-04"
"Bam Adebayo","MIA",23,1,1,0,28.4,20,9,10,90,0,0,0,2,3,66.7,1,7,8,4,1,0,0,2,34.6,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,29,"2021-01-04"
"Jayson Tatum","BOS",22,1,1,0,31.7,40,11,19,57.9,5,8,62.5,13,13,100,0,6,6,2,1,0,2,5,55.2,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,38,"2021-01-04"
"Tobias Harris","PHI",28,1,1,0,29.6,22,10,16,62.5,2,5,40,0,0,0,1,4,5,2,1,0,0,1,30,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,23,"2021-01-04"
"Dorian Finney-Smith","DAL",27,1,1,0,32.6,9,3,8,37.5,2,5,40,1,1,100,1,3,4,1,1,1,1,3,20.3,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,9,"2021-01-04"
"Danny Green","PHI",33,1,1,0,22.9,13,5,10,50,3,8,37.5,0,0,0,2,4,6,3,1,1,0,1,26.7,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,18,"2021-01-04"
"Duncan Robinson","MIA",26,1,1,0,33.1,12,4,11,36.4,4,10,40,0,0,0,0,4,4,3,2,1,0,2,22.3,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0,11,"2021-01-04"
"Kelly Oubre Jr.","GSW",25,1,1,0,25.5,18,6,13,46.2,4,6,66.7,2,2,100,1,2,3,2,0,1,2,2,33.6,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,19,"2021-01-04"
"Goran Dragic","MIA",34,1,1,0,22,7,3,7,42.9,1,2,50,0,0,0,0,0,0,7,2,0,0,1,15.5,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,9,"2021-01-04"
"Seth Curry","PHI",30,1,1,0,25.6,11,4,7,57.1,2,2,100,1,1,100,0,1,1,2,2,0,1,2,16.2,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,10,"2021-01-04"
"Dwayne Bacon","ORL",25,1,1,0,25.3,8,3,7,42.9,2,4,50,0,0,0,0,2,2,1,3,1,0,0,11.9,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,7,"2021-01-04"
"Kevon Looney","GSW",24,1,1,0,12.4,11,5,6,83.3,0,0,0,1,2,50,1,2,3,2,0,0,0,3,17.6,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,13,"2021-01-04"
"Mychal Mulder","GSW",26,1,1,0,14.5,12,4,4,100,4,4,100,0,0,0,0,2,2,2,2,0,0,2,15.4,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,14,"2021-01-04"
"Joel Embiid","PHI",26,1,1,0,24.9,14,4,10,40,0,3,0,6,8,75,1,10,11,4,1,2,3,1,47.2,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,26,"2021-01-04"
"Kelly Olynyk","MIA",29,1,1,0,27.5,19,7,9,77.8,5,7,71.4,0,0,0,0,8,8,1,2,0,0,2,28.1,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,24,"2021-01-04"
"Payton Pritchard","BOS",22,1,1,0,32.4,23,8,13,61.5,2,4,50,5,5,100,0,2,2,8,3,0,0,2,34.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,25,"2021-01-04"
"Tim Hardaway Jr.","DAL",28,1,1,0,31.3,30,11,14,78.6,8,10,80,0,0,0,0,7,7,2,2,0,0,1,39.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,35,"2021-01-04"
"Willie Cauley-Stein","DAL",27,1,1,0,24.1,15,5,7,71.4,0,0,0,5,6,83.3,2,5,7,2,0,1,1,4,32.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,21,"2021-01-04"
