"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"De'Aaron Fox","SAC",23,1,0,1,39,43,17,27,63,3,9,33.3,6,8,75,1,3,4,13,2,4,0,3,77.3,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,2,47,"2021-01-17"
"Luka Doncic","DAL",21,1,0,1,37.5,36,13,30,43.3,6,11,54.5,4,6,66.7,6,10,16,15,5,2,0,2,78.7,1,1,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,17,2,43,"2021-01-17"
"Nikola Jokic","DEN",25,1,0,1,39.8,35,14,23,60.9,3,6,50,4,4,100,8,6,14,9,6,2,1,4,68.3,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,42,"2021-01-17"
"Zion Williamson","NOP",20,1,1,0,35.3,31,13,15,86.7,0,0,0,5,5,100,1,5,6,2,2,0,0,4,39.2,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,33,"2021-01-17"
"Jamal Murray","DEN",23,1,0,1,42.2,30,11,27,40.7,4,11,36.4,4,5,80,2,3,5,4,0,0,1,2,45,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16,1,21,"2021-01-17"
"Lauri Markkanen","CHI",23,1,1,0,32.9,29,10,19,52.6,2,7,28.6,7,8,87.5,1,9,10,3,2,0,0,2,43.5,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,1,30,"2021-01-17"
"Marvin Bagley III","SAC",21,1,0,1,36.2,26,11,19,57.9,2,6,33.3,2,2,100,3,7,10,0,2,1,1,2,42,1,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,26,"2021-01-17"
"Jaylen Brown","BOS",24,1,0,1,32.6,25,9,20,45,3,9,33.3,4,5,80,3,3,6,3,2,1,0,3,37.7,0,0,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,1,18,"2021-01-17"
"Doug McDermott","IND",29,1,0,1,32.4,23,9,12,75,5,7,71.4,0,0,0,0,1,1,2,3,0,0,0,24.2,0,0,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,20,"2021-01-17"
"Jordan Clarkson","UTA",28,1,1,0,29.7,23,9,13,69.2,4,8,50,1,1,100,0,3,3,1,1,2,1,1,36.1,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,26,"2021-01-17"
