"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Collin Sexton","CLE",22,1,1,0,38.2,42,16,29,55.2,5,11,45.5,5,9,55.6,3,2,5,5,1,2,1,5,63.5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,4,34,"2021-01-20"
"Joel Embiid","PHI",26,1,1,0,32.9,42,12,19,63.2,1,5,20,17,21,81,0,10,10,2,1,2,1,2,65,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,4,45,"2021-01-20"
"Kevin Durant","BKN",32,1,0,1,50.2,38,12,25,48,3,9,33.3,11,13,84.6,1,11,12,8,2,1,4,2,77.4,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,2,44,"2021-01-20"
"Trae Young","ATL",22,1,1,0,44,38,11,26,42.3,3,5,60,13,19,68.4,2,2,4,10,2,2,1,1,64.8,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,6,33,"2021-01-20"
"Kyrie Irving","BKN",28,1,0,1,48.4,37,15,28,53.6,3,8,37.5,4,5,80,1,1,2,3,4,1,3,4,51.9,0,0,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,1,24,"2021-01-20"
"Jerami Grant","DET",26,1,0,1,41.2,32,12,22,54.5,2,5,40,6,7,85.7,1,5,6,5,1,0,0,5,45.7,0,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,1,26,"2021-01-20"
"Kawhi Leonard","LAC",29,1,1,0,35,32,13,22,59.1,3,5,60,3,3,100,0,3,3,5,3,6,0,0,58.1,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,0,36,"2021-01-20"
"John Collins","ATL",23,1,1,0,43.4,31,13,24,54.2,1,3,33.3,4,5,80,4,7,11,0,3,1,1,3,47.2,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,1,28,"2021-01-20"
"Kendrick Nunn","MIA",25,1,1,0,34.6,28,9,12,75,4,6,66.7,6,6,100,1,7,8,5,5,1,0,4,43.1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,32,"2021-01-20"
"Nikola Vucevic","ORL",30,1,1,0,42.9,28,11,27,40.7,3,7,42.9,3,4,75,3,5,8,4,0,1,2,2,52.6,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,1,26,"2021-01-20"
"Clint Capela","ATL",26,1,1,0,38.8,27,10,18,55.6,0,0,0,7,12,58.3,12,14,26,2,0,1,5,2,79.2,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,5,48,"2021-01-20"
"Kristaps Porzingis","DAL",25,1,1,0,32.4,27,12,15,80,1,3,33.3,2,2,100,5,8,13,4,0,0,1,2,51.6,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,42,"2021-01-20"
"Deandre Ayton","PHX",22,1,1,0,35.6,26,11,15,73.3,0,0,0,4,4,100,6,11,17,3,2,0,5,3,63.9,1,0,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,44,"2021-01-20"
"Jaylen Brown","BOS",24,1,0,1,32.8,26,10,24,41.7,3,10,30,3,6,50,0,5,5,3,4,0,0,3,32.5,0,0,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,3,10,"2021-01-20"
"Malcolm Brogdon","IND",28,1,0,1,37.6,26,9,20,45,3,9,33.3,5,5,100,0,3,3,5,2,1,0,1,38.1,0,0,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,0,21,"2021-01-20"
"Stephen Curry","GSW",32,1,1,0,31.5,26,10,17,58.8,4,8,50,2,2,100,1,10,11,7,4,0,0,2,45.7,1,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,33,"2021-01-20"
"Cedi Osman","CLE",25,1,1,0,50.4,25,9,17,52.9,4,9,44.4,3,3,100,0,7,7,7,1,0,0,4,42.9,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,28,"2021-01-20"
"De'Aaron Fox","SAC",23,1,0,1,34,25,10,18,55.6,2,4,50,3,8,37.5,0,4,4,7,6,1,0,2,37.3,0,0,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,5,16,"2021-01-20"
