"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Will Barton","DEN",29,1,1,0,22.7,11,5,12,41.7,1,4,25,0,0,0,0,4,4,0,1,0,1,0,17.8,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,10,"2020-12-28"
"PJ Dozier","DEN",24,1,1,0,19.7,3,1,5,20,0,0,0,1,2,50,2,3,5,1,1,1,1,1,15.5,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,6,"2020-12-28"
"Nikola Jokic","DEN",25,1,1,0,34.1,19,8,11,72.7,1,1,100,2,3,66.7,4,8,12,18,3,3,1,2,69.4,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,46,"2020-12-28"
"Bruno Fernando","ATL",22,1,1,0,10.6,5,2,2,100,0,0,0,1,1,100,1,4,5,0,1,0,1,0,13,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,12,"2020-12-28"
"Dillon Brooks","MEM",24,1,1,0,35.3,24,9,19,47.4,2,4,50,4,4,100,3,4,7,4,5,3,0,5,42.4,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,20,"2020-12-28"
"Gary Trent Jr.","POR",21,1,1,0,23.7,28,10,14,71.4,7,11,63.6,1,2,50,0,3,3,1,0,0,0,2,33.1,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,27,"2020-12-28"
"Jamal Murray","DEN",23,1,1,0,31.1,21,7,14,50,4,6,66.7,3,7,42.9,2,3,5,2,2,0,1,0,31,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,18,"2020-12-28"
"Marc Gasol","LAL",35,1,0,1,19.4,4,2,4,50,0,1,0,0,1,0,1,6,7,0,0,1,2,2,21.4,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,9,"2020-12-28"
"Monte Morris","DEN",25,1,1,0,23.5,12,5,7,71.4,1,3,33.3,1,3,33.3,0,4,4,5,0,0,1,2,27.3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,18,"2020-12-28"
"Solomon Hill","ATL",29,1,1,0,19.9,12,4,8,50,4,8,50,0,0,0,0,2,2,0,1,1,1,3,19.4,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,10,"2020-12-28"
"Enes Kanter","POR",28,1,1,0,22.1,12,6,9,66.7,0,0,0,0,0,0,3,11,14,0,0,1,0,3,31.8,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,23,"2020-12-28"
"Gary Harris","DEN",26,1,1,0,28.9,14,6,10,60,2,6,33.3,0,1,0,1,2,3,2,1,3,0,1,28.6,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,17,"2020-12-28"
"Kyle Anderson","MEM",27,1,1,0,36.7,28,9,17,52.9,4,8,50,6,8,75,3,4,7,3,4,0,0,4,36.9,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2,22,"2020-12-28"
"Rodney Hood","POR",28,1,1,0,15.5,5,2,6,33.3,1,2,50,0,0,0,0,1,1,3,1,1,0,1,12.7,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,6,"2020-12-28"
"David Nwaba","HOU",27,1,0,1,32,14,5,11,45.5,1,3,33.3,3,5,60,1,4,5,1,1,2,0,2,26.5,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,11,"2020-12-28"
"CJ McCollum","POR",29,1,1,0,36.9,20,7,22,31.8,3,11,27.3,3,3,100,1,2,3,11,2,3,1,1,50.1,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,15,0,22,"2020-12-28"
"Kentavious Caldwell-Pope","LAL",27,1,0,1,28.6,14,5,9,55.6,4,5,80,0,0,0,0,1,1,0,3,0,0,0,12.2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,8,"2020-12-28"
"Bogdan Bogdanovic","ATL",28,1,1,0,30.4,17,6,10,60,5,7,71.4,0,0,0,0,5,5,5,2,0,1,2,31.5,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,22,"2020-12-28"
"Jonas Valanciunas","MEM",28,1,1,0,39.1,14,6,11,54.5,0,1,0,2,2,100,0,14,14,2,1,1,3,2,44.8,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,28,"2020-12-28"
"Anfernee Simons","POR",21,1,1,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2020-12-28"
"Dennis Schroder","LAL",27,1,0,1,36.3,24,8,16,50,1,2,50,7,7,100,0,4,4,4,2,1,0,3,35.8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,20,"2020-12-28"
"Rajon Rondo","ATL",34,1,1,0,15.1,12,5,8,62.5,2,3,66.7,0,0,0,0,0,0,8,0,0,1,0,27,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,20,"2020-12-28"
"Al Horford","OKC",34,1,0,1,29.2,11,4,10,40,3,7,42.9,0,0,0,0,5,5,4,1,1,0,1,25,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,13,"2020-12-28"
"Caris LeVert","BKN",26,1,0,1,38.2,28,12,29,41.4,2,9,22.2,2,2,100,1,3,4,11,3,5,0,5,61.3,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,0,23,"2020-12-28"
"Jeff Green","BKN",34,1,0,1,23.7,8,3,6,50,2,4,50,0,0,0,0,1,1,1,0,1,1,2,16.7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,7,"2020-12-28"
"George Hill","OKC",34,1,0,1,25.1,14,5,13,38.5,0,4,0,4,5,80,3,2,5,4,0,1,0,0,29,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,15,"2020-12-28"
"Anthony Davis","LAL",27,1,0,1,37.8,13,6,14,42.9,0,0,0,1,2,50,1,9,10,5,3,1,0,1,32.5,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,1,16,"2020-12-28"
"Isaiah Hartenstein","DEN",22,1,1,0,9.7,5,1,3,33.3,0,0,0,3,6,50,2,2,4,0,1,1,0,4,11.8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,"2020-12-28"
