"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Damian Lillard","POR",30,1,1,0,35.4,34,11,21,52.4,6,10,60,6,6,100,0,4,4,8,1,1,0,3,52.8,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,0,35,"2021-01-01"
"Deni Avdija","WAS",20,1,1,0,27.2,11,4,7,57.1,3,5,60,0,0,0,0,7,7,3,1,3,0,3,31.9,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,19,"2021-01-01"
"Derrick Jones Jr.","POR",23,1,1,0,32.8,8,3,7,42.9,1,2,50,1,2,50,4,4,8,3,0,5,0,4,37.1,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,17,"2021-01-01"
"Giannis Antetokounmpo","MIL",26,1,1,0,27.8,29,9,19,47.4,1,5,20,10,18,55.6,1,11,12,8,2,2,2,4,65.4,1,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,8,31,"2021-01-01"
"CJ McCollum","POR",29,1,1,0,33.6,28,11,21,52.4,4,11,36.4,2,3,66.7,0,1,1,4,0,3,0,2,44.2,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,1,25,"2021-01-01"
"Jusuf Nurkic","POR",26,1,1,0,17.6,8,3,8,37.5,1,1,100,1,4,25,2,6,8,2,1,1,0,5,22.6,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,7,"2021-01-01"
"Robert Covington","POR",30,1,1,0,36.5,8,2,8,25,2,7,28.6,2,2,100,0,11,11,2,1,1,1,0,29.2,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,18,"2021-01-01"
"Jrue Holiday","MIL",30,1,1,0,25.9,11,4,9,44.4,3,6,50,0,0,0,0,1,1,4,0,3,0,2,27.2,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,14,"2021-01-01"
"Kyle Anderson","MEM",27,1,1,0,29.2,18,7,15,46.7,2,6,33.3,2,2,100,1,10,11,5,0,2,1,2,47.7,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,29,"2021-01-01"
"Thomas Bryant","WAS",23,1,1,0,22,18,7,7,100,1,1,100,3,4,75,2,5,7,2,2,0,0,1,27.4,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,25,"2021-01-01"
"Tyus Jones","MEM",24,1,1,0,29,6,3,7,42.9,0,2,0,0,0,0,0,1,1,12,1,2,0,0,30.2,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,18,"2021-01-01"
"Davis Bertans","WAS",28,1,1,0,19.5,11,4,8,50,3,7,42.9,0,0,0,1,1,2,1,1,0,0,1,13.9,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,10,"2021-01-01"
"Mike Conley","UTA",33,1,1,0,33.7,33,11,20,55,7,14,50,4,4,100,1,1,2,7,2,1,0,0,46.9,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,0,34,"2021-01-01"
"Bradley Beal","WAS",27,1,1,0,28,31,12,20,60,3,5,60,4,5,80,0,3,3,7,2,1,0,1,46.1,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,32,"2021-01-01"
"Patrick Beverley","LAC",32,1,0,1,28,6,2,7,28.6,2,5,40,0,0,0,1,0,1,0,0,0,2,3,13.2,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,1,"2021-01-01"
"Donte DiVincenzo","MIL",23,1,1,0,19.4,11,4,5,80,3,4,75,0,0,0,0,1,1,1,1,1,0,0,15.7,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,14,"2021-01-01"
"Khris Middleton","MIL",29,1,1,0,25.3,14,6,10,60,2,2,100,0,0,0,0,2,2,6,2,3,1,2,35.4,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,20,"2021-01-01"
"Solomon Hill","ATL",29,1,1,0,23.7,6,2,9,22.2,2,7,28.6,0,0,0,0,4,4,1,0,1,1,1,18.3,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,7,"2021-01-01"
"Dillon Brooks","MEM",24,1,1,0,28.2,21,8,17,47.1,5,10,50,0,0,0,1,2,3,2,5,3,1,4,34.6,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,14,"2021-01-01"
"Ish Smith","WAS",32,1,1,0,20.9,5,2,6,33.3,1,1,100,0,0,0,1,5,6,9,2,0,0,0,23.7,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,16,"2021-01-01"
"Josh Jackson","DET",23,1,1,0,26.1,11,5,12,41.7,1,3,33.3,0,0,0,1,1,2,2,4,1,1,3,18.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,5,"2021-01-01"
"LeBron James","LAL",36,1,1,0,35.7,26,8,22,36.4,3,7,42.9,7,7,100,1,10,11,10,4,2,0,0,56.2,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,0,33,"2021-01-01"
"Jonas Valanciunas","MEM",28,1,1,0,25.8,14,6,9,66.7,0,0,0,2,4,50,3,7,10,1,2,1,0,3,28.5,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,18,"2021-01-01"
"Tim Hardaway Jr.","DAL",28,1,1,0,38.6,18,6,18,33.3,3,10,30,3,4,75,0,2,2,3,2,2,1,3,31.9,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,1,10,"2021-01-01"
