"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Anthony Davis","LAL",27,1,1,0,29.9,27,9,12,75,0,1,0,9,10,90,1,3,4,1,2,0,3,4,40.3,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,27,"2021-01-10"
"Monte Morris","DEN",25,1,1,0,22.8,12,5,10,50,2,5,40,0,0,0,0,3,3,3,0,1,0,1,23.1,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,15,"2021-01-10"
"JaMychal Green","DEN",30,1,1,0,22.9,10,4,5,80,2,2,100,0,0,0,1,7,8,1,0,1,0,2,24.1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,19,"2021-01-10"
"Theo Maledon","OKC",19,1,1,0,18.7,3,1,7,14.3,1,4,25,0,0,0,0,1,1,5,0,2,0,1,17.7,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,6,"2021-01-10"
"Dennis Schroder","LAL",27,1,1,0,34.9,8,3,10,30,1,3,33.3,1,2,50,0,5,5,7,0,2,2,2,36.5,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,16,"2021-01-10"
"Hamidou Diallo","OKC",22,1,1,0,23.9,25,10,14,71.4,1,4,25,4,4,100,0,3,3,4,0,4,0,4,46.6,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,30,"2021-01-10"
"PJ Dozier","DEN",24,1,1,0,17.3,12,4,6,66.7,3,4,75,1,2,50,0,5,5,2,1,1,1,3,26,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,16,"2021-01-10"
"Aleksej Pokusevski","OKC",19,1,1,0,13.6,3,1,4,25,1,3,33.3,0,0,0,0,3,3,0,1,0,0,0,5.6,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,4,"2021-01-10"
"Facundo Campazzo","DEN",29,1,1,0,14.2,5,2,5,40,1,2,50,0,0,0,0,2,2,2,1,2,0,2,15.4,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,7,"2021-01-10"
"Juancho Hernangomez","MIN",25,1,1,0,27.2,7,2,5,40,1,3,33.3,2,2,100,2,6,8,2,0,0,0,2,19.6,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,14,"2021-01-10"
"Kenrich Williams","OKC",26,1,1,0,13,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2.4,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,"2021-01-10"
"Lou Williams","LAC",34,1,1,0,23.5,21,6,10,60,1,2,50,8,9,88.9,0,1,1,4,1,3,0,1,36.2,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,24,"2021-01-10"
"Isaiah Hartenstein","DEN",22,1,1,0,11.5,8,3,3,100,0,0,0,2,2,100,1,1,2,1,3,1,0,6,11.9,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,"2021-01-10"
"Montrezl Harrell","LAL",26,1,1,0,23.3,16,7,11,63.6,0,0,0,2,2,100,2,6,8,0,2,1,1,3,29.6,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,19,"2021-01-10"
"Kentavious Caldwell-Pope","LAL",27,1,1,0,22.3,7,3,9,33.3,1,4,25,0,0,0,1,3,4,3,2,2,0,1,20.3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,9,"2021-01-10"
