"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Kyrie Irving","BKN",28,1,1,0,25.3,26,10,16,62.5,4,7,57.1,2,2,100,1,3,4,4,1,0,0,3,35.8,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,26,"2020-12-23"
"Kevin Durant","BKN",32,1,1,0,24.9,22,7,16,43.8,1,2,50,7,7,100,1,4,5,3,1,3,1,3,43.5,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,23,"2020-12-23"
"Spencer Dinwiddie","BKN",27,1,1,0,20,9,2,6,33.3,1,3,33.3,4,4,100,0,5,5,4,3,0,0,1,18,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,12,"2020-12-23"
"DeAndre Jordan","BKN",32,1,1,0,17.1,4,2,3,66.7,0,0,0,0,2,0,2,9,11,1,3,1,1,2,21.7,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,12,"2020-12-23"
"Joe Harris","BKN",29,1,1,0,20.8,10,4,8,50,2,5,40,0,0,0,2,5,7,2,2,0,1,2,22.4,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,14,"2020-12-23"
"Caris LeVert","BKN",26,1,1,0,24.8,20,6,17,35.3,3,5,60,5,6,83.3,1,8,9,5,2,2,1,1,45.3,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,1,24,"2020-12-23"
"Ivica Zubac","LAC",23,1,1,0,26.5,11,4,5,80,0,0,0,3,4,75,3,3,6,1,1,1,1,4,24.7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,15,"2020-12-23"
"Paul George","LAC",30,1,1,0,35.8,33,13,18,72.2,5,8,62.5,2,2,100,0,6,6,3,5,1,0,3,42.7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,32,"2020-12-23"
"Markieff Morris","LAL",31,1,0,1,19,5,1,3,33.3,1,2,50,2,3,66.7,1,3,4,1,0,0,0,0,11.3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,7,"2020-12-23"
"Jarrett Allen","BKN",22,1,1,0,19.6,8,2,3,66.7,0,0,0,4,5,80,3,4,7,2,2,1,2,0,26.4,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,18,"2020-12-23"
"Landry Shamet","BKN",23,1,1,0,19.7,6,1,4,25,1,4,25,3,4,75,0,1,1,0,2,1,0,3,8.2,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,"2020-12-23"
"Patrick Beverley","LAC",32,1,1,0,22.1,10,4,9,44.4,2,5,40,0,0,0,4,2,6,3,2,0,0,4,19.7,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,10,"2020-12-23"
"Mychal Mulder","GSW",26,1,0,1,6.6,8,3,3,100,2,2,100,0,0,0,0,1,1,0,0,0,0,0,9.2,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9,"2020-12-23"
"Patrick Patterson","LAC",31,1,1,0,19.6,3,1,5,20,1,4,25,0,0,0,1,2,3,1,1,2,0,2,13.1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,4,"2020-12-23"
"Damion Lee","GSW",28,1,0,1,12.2,3,1,2,50,1,1,100,0,0,0,1,6,7,2,0,0,0,0,14.4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,11,"2020-12-23"
"Talen Horton-Tucker","LAL",20,1,0,1,10.9,6,2,2,100,0,0,0,2,2,100,0,1,1,0,1,1,0,3,9.2,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,"2020-12-23"
"Jeff Green","BKN",34,1,1,0,17.3,7,3,4,75,1,2,50,0,0,0,0,0,0,1,1,1,0,3,10.5,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,6,"2020-12-23"
"Alex Caruso","LAL",26,1,0,1,16.7,3,1,5,20,1,4,25,0,0,0,0,2,2,1,3,0,0,0,3.9,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,-1,"2020-12-23"
"Taurean Prince","BKN",26,1,1,0,16.1,1,0,1,0,0,1,0,1,2,50,0,1,1,0,0,1,1,1,8.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"2020-12-23"
"LeBron James","LAL",36,1,0,1,28.4,22,7,17,41.2,3,8,37.5,5,7,71.4,2,3,5,5,4,0,0,2,31.5,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,2,14,"2020-12-23"
"Quinn Cook","LAL",27,1,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"2020-12-23"
"Brad Wanamaker","GSW",31,1,0,1,21.7,3,0,2,0,0,1,0,3,4,75,0,1,1,3,1,0,0,2,7.7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,"2020-12-23"
"Kawhi Leonard","LAC",29,1,1,0,34,26,10,26,38.5,1,8,12.5,5,5,100,0,2,2,3,3,2,0,5,35.9,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16,0,11,"2020-12-23"
"Kyle Kuzma","LAL",25,1,0,1,26.6,15,6,11,54.5,1,3,33.3,2,2,100,0,1,1,0,2,0,0,2,14.2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,7,"2020-12-23"
"Lou Williams","LAC",34,1,1,0,25.9,11,4,9,44.4,2,4,50,1,3,33.3,0,2,2,3,1,0,0,2,16.9,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,8,"2020-12-23"
"Reggie Jackson","LAC",30,1,1,0,3.4,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,-1,"2020-12-23"
"Amir Coffey","LAC",23,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2020-12-23"
"Mfiondu Kabengele","LAC",23,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2020-12-23"
"Nicolas Batum","LAC",32,1,1,0,28.2,3,1,4,25,1,3,33.3,0,0,0,1,5,6,6,1,2,0,2,24.2,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,13,"2020-12-23"
"Terance Mann","LAC",24,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,"2020-12-23"
"Jordan Poole","GSW",21,1,0,1,17.9,2,1,4,25,0,1,0,0,0,0,0,2,2,3,2,0,0,2,6.9,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,"2020-12-23"
"Kent Bazemore","GSW",31,1,0,1,11.6,2,1,2,50,0,1,0,0,0,0,0,2,2,2,2,1,0,3,8.4,0,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,"2020-12-23"
